Names,Locations,Prices/Mon
200 m²,Elmlər Akademiyası m.,1 500AZN/ay
240 m²,Sahil m.,5 500AZN/ay
3 otaqlı140 m²6/17 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
2 otaqlı96 m²12/20 mərtəbə,Nəriman Nərimanov m.,600AZN/ay
2 otaqlı60 m²,Nəsimi r.,430AZN/ay
130 m²,Nərimanov r.,3 000AZN/ay
76 m²,Nəsimi r.,550AZN/ay
3 otaqlı200 m²14/27 mərtəbə,Şah İsmayıl Xətai m.,2 500AZN/ay
1 otaqlı40 m²,Nəsimi r.,500AZN/ay
3 otaqlı61 m²5/17 mərtəbə,İnşaatçılar m.,400AZN/ay
2 otaqlı90 m²16/17 mərtəbə,Nəriman Nərimanov m.,550AZN/ay
10 m²,Azadlıq Prospekti m.,300AZN/ay
200 m²,Elmlər Akademiyası m.,1 500AZN/ay
4 otaqlı200 m²,Şah İsmayıl Xətai m.,2 500AZN/ay
2 otaqlı38 m²,Yeni Yasamal q.,300AZN/ay
2 otaqlı90 m²11/16 mərtəbə,Şah İsmayıl Xətai m.,850AZN/ay
2 otaqlı110 m²14/19 mərtəbə,Nərimanov r.,800AZN/ay
2 otaqlı58 m²7/10 mərtəbə,Sumqayıt,420AZN/ay
3 otaqlı80 m²4/5 mərtəbə,Gənclik m.,450AZN/ay
2 otaqlı80 m²9/18 mərtəbə,İçəri Şəhər m.,850AZN/ay
3 otaqlı110 m²12/18 mərtəbə,Yasamal r.,700AZN/ay
120 m²,Neftçilər m.,1 500AZN/ay
3 otaqlı100 m²12/20 mərtəbə,20 Yanvar m.,700AZN/ay
3 otaqlı160 m²19/22 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
2 otaqlı88 m²3/5 mərtəbə,Nizami r.,700AZN/ay
3 otaqlı85 m²3/20 mərtəbə,Nəriman Nərimanov m.,700AZN/ay
3 otaqlı150 m²9/19 mərtəbə,Şah İsmayıl Xətai m.,2 500AZN/ay
2 otaqlı65 m²4/27 mərtəbə,Nəsimi r.,800AZN/ay
3 otaqlı110 m²11/16 mərtəbə,Nərimanov r.,800AZN/ay
2 otaqlı64 m²9/12 mərtəbə,Əhmədli q.,400AZN/ay
4 otaqlı213 m²,Yasamal r.,2 000AZN/ay
5 otaqlı200 m²,Nizami m.,2 600AZN/ay
2 otaqlı55 m²3/18 mərtəbə,İnşaatçılar m.,450AZN/ay
3 otaqlı94 m²2/5 mərtəbə,28 May m.,40AZN/gün
2 otaqlı74 m²3/5 mərtəbə,28 May m.,40AZN/gün
3 otaqlı136 m²8/16 mərtəbə,İnşaatçılar m.,1 200AZN/ay
2 otaqlı96 m²8/16 mərtəbə,İnşaatçılar m.,1 000AZN/ay
3 otaqlı150 m²6/19 mərtəbə,Şah İsmayıl Xətai m.,1 000AZN/ay
3 otaqlı100 m²2/18 mərtəbə,Yasamal r.,600AZN/ay
2 otaqlı80 m²8/14 mərtəbə,Səbail r.,800AZN/ay
3 otaqlı220 m²19/23 mərtəbə,Xətai r.,2 000AZN/ay
40 m²,Əhmədli q.,400AZN/ay
1 otaqlı40 m²4/9 mərtəbə,9-cu mikrorayon q.,300AZN/ay
4 otaqlı250 m²14/27 mərtəbə,Şah İsmayıl Xətai m.,2 500AZN/ay
3 otaqlı100 m²,Qəbələ,700AZN/ay
2 otaqlı35 m²4/4 mərtəbə,Badamdar q.,300AZN/ay
3 otaqlı200 m²8/16 mərtəbə,Nəsimi r.,1 000AZN/ay
3 otaqlı100 m²5/18 mərtəbə,Nəriman Nərimanov m.,550AZN/ay
2 otaqlı100 m²7/18 mərtəbə,Şah İsmayıl Xətai m.,650AZN/ay
4 otaqlı200 m²19/20 mərtəbə,Şah İsmayıl Xətai m.,2 000AZN/ay
2 otaqlı73 m²12/18 mərtəbə,Şah İsmayıl Xətai m.,1 000AZN/ay
80 m²,28 May m.,1 600AZN/ay
7 otaqlı220 m²,Gənclik m.,3 500AZN/ay
4 otaqlı181 m²18/18 mərtəbə,Şah İsmayıl Xətai m.,2 300AZN/ay
4 otaqlı200 m²,Nizami r.,130AZN/ay
4 otaqlı200 m²7/17 mərtəbə,Nəsimi r.,900AZN/ay
3 otaqlı130 m²12/17 mərtəbə,Nəriman Nərimanov m.,800AZN/ay
2 otaqlı90 m²14/16 mərtəbə,Səbail r.,750AZN/ay
4 otaqlı220 m²5/18 mərtəbə,Nəsimi r.,2 200AZN/ay
2 otaqlı40 m²3/5 mərtəbə,Memar Əcəmi m.,370AZN/ay
4 otaqlı180 m²8/18 mərtəbə,Nəsimi r.,1 100AZN/ay
3 otaqlı130 m²11/18 mərtəbə,Nəsimi r.,1 200AZN/ay
1 otaqlı40 m²5/18 mərtəbə,Memar Əcəmi m.,300AZN/ay
3 otaqlı173 m²10/16 mərtəbə,Memar Əcəmi m.,850AZN/ay
3 otaqlı220 m²19/23 mərtəbə,Şah İsmayıl Xətai m.,2 000AZN/ay
3 otaqlı90 m²15/18 mərtəbə,Həzi Aslanov m.,450AZN/ay
70 m²,Nizami m.,1 400AZN/ay
4 otaqlı160 m²2/10 mərtəbə,Nəsimi r.,1 500AZN/ay
2 otaqlı50 m²1/2 mərtəbə,Bayıl q.,350AZN/ay
3 otaqlı150 m²8/16 mərtəbə,Elmlər Akademiyası m.,750AZN/ay
3 otaqlı100 m²9/21 mərtəbə,Şah İsmayıl Xətai m.,2 000AZN/ay
3 otaqlı128 m²4/18 mərtəbə,Nizami m.,1 300AZN/ay
2 otaqlı106 m²8/27 mərtəbə,Yasamal r.,900AZN/ay
3 otaqlı100 m²4/19 mərtəbə,Yasamal r.,700AZN/ay
3 otaqlı118 m²5/19 mərtəbə,Nəsimi r.,700AZN/ay
75 m²,Nizami m.,2 000AZN/ay
85 m²,Nəsimi r.,1 600AZN/ay
2 otaqlı60 m²3/3 mərtəbə,Sahil m.,700AZN/ay
3 otaqlı100 m²8/18 mərtəbə,Elmlər Akademiyası m.,1 000AZN/ay
3 otaqlı80 m²2/2 mərtəbə,Yasamal q.,130AZN/ay
2 otaqlı60 m²,Yasamal q.,400AZN/ay
5 otaqlı250 m²,28 May m.,2 500AZN/ay
60 m²,Nəsimi r.,1 000AZN/ay
85 m²,28 May m.,1 600AZN/ay
2 otaqlı56 m²2/7 mərtəbə,Hövsan q.,230AZN/ay
100 m²,28 May m.,1 100AZN/ay
3 otaqlı158 m²8/10 mərtəbə,İnşaatçılar m.,950AZN/ay
2 otaqlı70 m²12/14 mərtəbə,Koroğlu m.,500AZN/ay
1 otaqlı70 m²11/20 mərtəbə,Nizami m.,1 000AZN/ay
3 otaqlı100 m²17/18 mərtəbə,Şah İsmayıl Xətai m.,700AZN/ay
3 otaqlı60 m²3/9 mərtəbə,Azadlıq Prospekti m.,600AZN/gün
