Names,Locations,Prices/Mon
124 m²,Sahil m.,11 000AZN/ay
4 otaqlı385 m²26/27 mərtəbə,Şah İsmayıl Xətai m.,6 000AZN/ay
3 otaqlı145 m²2/16 mərtəbə,28 May m.,1 100AZN/ay
3 otaqlı220 m²13/20 mərtəbə,Nəsimi r.,1 500AZN/ay
4 otaqlı120 m²3/5 mərtəbə,Sahil m.,70AZN/gün
130 m²,Nizami m.,1 200AZN/ay
3 otaqlı170 m²8/16 mərtəbə,Nəsimi r.,1 200AZN/ay
4 otaqlı130 m²2/7 mərtəbə,Nəsimi r.,850AZN/ay
3 otaqlı120 m²8/9 mərtəbə,Nəriman Nərimanov m.,700AZN/ay
3 otaqlı105 m²13/16 mərtəbə,Şah İsmayıl Xətai m.,850AZN/ay
3 otaqlı145 m²2/16 mərtəbə,20 Yanvar m.,750AZN/ay
2 otaqlı75 m²3/18 mərtəbə,20 Yanvar m.,700AZN/ay
2 otaqlı50 m²,M.Ə.Rəsulzadə q.,250AZN/ay
3 otaqlı125 m²8/16 mərtəbə,Şah İsmayıl Xətai m.,1 500AZN/ay
300 m²,Mərdəkan q.,200AZN/gün
2 otaqlı60 m²16/17 mərtəbə,Bayıl q.,500AZN/ay
2 otaqlı68 m²,Şah İsmayıl Xətai m.,1 400AZN/ay
160 m²,Xalqlar Dostluğu m.,1 400AZN/ay
4 otaqlı90 m²,Mehdiabad q.,140AZN/ay
2 otaqlı100 m²3/17 mərtəbə,Nəsimi r.,950AZN/ay
1 otaqlı40 m²3/5 mərtəbə,Yasamal r.,400AZN/ay
3 otaqlı120 m²14/16 mərtəbə,Nərimanov r.,950AZN/ay
40 m²,Nəsimi r.,380AZN/ay
4 otaqlı200 m²3/18 mərtəbə,28 May m.,1 800AZN/ay
2 otaqlı80 m²8/12 mərtəbə,Nərimanov r.,700AZN/ay
3 otaqlı110 m²6/10 mərtəbə,Xətai r.,420AZN/ay
3 otaqlı120 m²13/18 mərtəbə,Şah İsmayıl Xətai m.,900AZN/ay
4 otaqlı110 m²7/9 mərtəbə,İnşaatçılar m.,500AZN/ay
3 otaqlı85 m²12/19 mərtəbə,Nizami r.,600AZN/ay
2 otaqlı55 m²10/16 mərtəbə,İnşaatçılar m.,470AZN/ay
130 m²,Nərimanov r.,2 000AZN/ay
3 otaqlı140 m²,28 May m.,1 100AZN/ay
3 otaqlı133 m²11/16 mərtəbə,Memar Əcəmi m.,1 100AZN/ay
4 otaqlı152 m²12/18 mərtəbə,Nizami r.,1 300AZN/ay
3 otaqlı200 m²2/21 mərtəbə,28 May m.,1 100AZN/ay
2 otaqlı50 m²5/5 mərtəbə,Elmlər Akademiyası m.,450AZN/ay
2 otaqlı90 m²8/12 mərtəbə,Nərimanov r.,700AZN/ay
2 otaqlı50 m²2/3 mərtəbə,Nəsimi r.,400AZN/ay
4 otaqlı200 m²19/21 mərtəbə,Nərimanov r.,1 200AZN/ay
3 otaqlı45 m²3/5 mərtəbə,Memar Əcəmi m.,400AZN/ay
2 otaqlı70 m²1/10 mərtəbə,Nizami m.,450AZN/ay
12 otaqlı300 m²,Nəsimi r.,3 500AZN/ay
3 otaqlı110 m²9/16 mərtəbə,Elmlər Akademiyası m.,900AZN/ay
3 otaqlı97 m²3/10 mərtəbə,Gənclik m.,650AZN/ay
3 otaqlı41 m²,Nizami m.,450AZN/ay
2 otaqlı50 m²7/16 mərtəbə,Xırdalan,350AZN/ay
1 otaqlı34 m²2/5 mərtəbə,Nəsimi r.,350AZN/ay
4 otaqlı152 m²12/18 mərtəbə,Nizami m.,1 300AZN/ay
1 otaqlı52 m²13/16 mərtəbə,1-ci mikrorayon q.,350AZN/ay
3 otaqlı110 m²9/16 mərtəbə,Nərimanov r.,1 200AZN/ay
3 otaqlı100 m²,Qəbələ,90AZN/gün
2 otaqlı85 m²4/16 mərtəbə,Elmlər Akademiyası m.,700AZN/ay
80 m²,Elmlər Akademiyası m.,2 500AZN/ay
2 otaqlı70 m²13/16 mərtəbə,Bayıl q.,500AZN/ay
2 otaqlı62 m²9/19 mərtəbə,İnşaatçılar m.,450AZN/ay
30 m²,Xətai r.,450AZN/ay
5 otaqlı300 m²,Yasamal r.,3 000AZN/ay
3 otaqlı75 m²5/5 mərtəbə,Memar Əcəmi m.,450AZN/ay
3 otaqlı125 m²9/16 mərtəbə,Nəsimi r.,1 200AZN/ay
2 otaqlı65 m²8/9 mərtəbə,Həzi Aslanov m.,400AZN/ay
12 otaqlı300 m²,Elmlər Akademiyası m.,7 000AZN/ay
2 otaqlı90 m²16/17 mərtəbə,Nərimanov r.,600AZN/ay
7 otaqlı650 m²,Badamdar q.,1 800AZN/ay
55 m²,Nərimanov r.,1 500AZN/ay
2 otaqlı55 m²,Elmlər Akademiyası m.,400AZN/ay
3 otaqlı125 m²4/16 mərtəbə,İçəri Şəhər m.,1 300AZN/ay
3 otaqlı118 m²2/17 mərtəbə,Memar Əcəmi m.,550AZN/ay
2 otaqlı42 m²1/5 mərtəbə,Nəriman Nərimanov m.,600AZN/ay
3 otaqlı60 m²3/5 mərtəbə,Nərimanov r.,600AZN/ay
2 otaqlı80 m²8/12 mərtəbə,Nəriman Nərimanov m.,700AZN/ay
2 otaqlı85 m²8/12 mərtəbə,Nəriman Nərimanov m.,700AZN/ay
2 otaqlı75 m²7/16 mərtəbə,Nəriman Nərimanov m.,650AZN/ay
2 otaqlı60 m²9/16 mərtəbə,20 Yanvar m.,600AZN/ay
2 otaqlı80 m²8/13 mərtəbə,Nəriman Nərimanov m.,700AZN/ay
4 otaqlı200 m²8/17 mərtəbə,28 May m.,1 100AZN/ay
2 otaqlı80 m²8/12 mərtəbə,Nəriman Nərimanov m.,650AZN/ay
8 otaqlı300 m²,Azadlıq Prospekti m.,1 200AZN/ay
2 otaqlı86 m²13/17 mərtəbə,Nəsimi r.,600AZN/ay
2 otaqlı55 m²19/20 mərtəbə,20 Yanvar m.,450AZN/ay
3 otaqlı122 m²4/15 mərtəbə,Şah İsmayıl Xətai m.,700AZN/ay
3 otaqlı120 m²15/21 mərtəbə,Nəriman Nərimanov m.,700AZN/ay
2 otaqlı75 m²7/16 mərtəbə,Nəriman Nərimanov m.,650AZN/ay
440 m²,İçəri Şəhər m.,25 000AZN/ay
2 otaqlı55 m²1/2 mərtəbə,Xətai r.,350AZN/ay
2 otaqlı105 m²15/20 mərtəbə,Şah İsmayıl Xətai m.,750AZN/ay
35 m²,Neftçilər m.,350AZN/ay
2 otaqlı90 m²7/20 mərtəbə,Yasamal q.,1 200AZN/ay
2 otaqlı70 m²17/20 mərtəbə,Gənclik m.,526AZN/ay
2 otaqlı42 m²4/5 mərtəbə,Nərimanov r.,450AZN/ay
22 m²,Gənclik m.,170AZN/gün
2 otaqlı58 m²1/5 mərtəbə,Nərimanov r.,400AZN/ay
3 otaqlı80 m²,9-cu mikrorayon q.,1 200AZN/ay
2 otaqlı70 m²4/8 mərtəbə,Yasamal r.,600AZN/ay
5 otaqlı200 m²,Şamaxı,200AZN/gün
4 otaqlı102 m²7/9 mərtəbə,Yeni Yasamal q.,500AZN/ay
2 otaqlı50 m²5/5 mərtəbə,Memar Əcəmi m.,280AZN/ay
1 otaqlı450 m²1/5 mərtəbə,Qaraçuxur q.,2 250AZN/ay
120 m²,Sahil m.,1 800AZN/ay
3 otaqlı110 m²,Xırdalan,500AZN/ay
1 otaqlı106 m²1/4 mərtəbə,Qaraçuxur q.,800AZN/ay
3 otaqlı210 m²18/24 mərtəbə,Şah İsmayıl Xətai m.,1 700AZN/ay
4 otaqlı250 m²16/22 mərtəbə,Nəsimi r.,1 500AZN/ay
3 otaqlı85 m²5/7 mərtəbə,28 May m.,850AZN/ay
4 otaqlı163 m²,Nəsimi r.,100AZN/gün
1 otaqlı31 m²3/16 mərtəbə,20 Yanvar m.,450AZN/ay
2 otaqlı45 m²,Binəqədi q.,250AZN/ay
2 otaqlı70 m²15/20 mərtəbə,Nizami m.,1 100AZN/ay
2 otaqlı60 m²7/9 mərtəbə,Azadlıq Prospekti m.,500AZN/ay
400 m²,Novxanı q.,200AZN/gün
2 otaqlı65 m²2/9 mərtəbə,Neftçilər m.,350AZN/ay
2 otaqlı70 m²10/12 mərtəbə,Həzi Aslanov q.,50AZN/gün
410 m²,Mərdəkan q.,200AZN/gün
400 m²,Bilgəh q.,200AZN/gün
300 m²,Nərimanov r.,1 500AZN/ay
2 otaqlı64 m²5/7 mərtəbə,Hövsan q.,280AZN/ay
220 m²,Nəriman Nərimanov m.,5 000AZN/ay
2 otaqlı55 m²1/5 mərtəbə,Memar Əcəmi m.,350AZN/ay
3 otaqlı75 m²3/16 mərtəbə,Memar Əcəmi m.,450AZN/ay
2 otaqlı55 m²3/5 mərtəbə,Yasamal q.,450AZN/ay
32 m²,Buzovna q.,350AZN/ay
2 otaqlı60 m²2/2 mərtəbə,İçəri Şəhər m.,500AZN/ay
4 otaqlı213 m²2/4 mərtəbə,Sahil m.,120AZN/gün
2 otaqlı40 m²2/2 mərtəbə,Sumqayıt,150AZN/ay
4 otaqlı152 m²12/18 mərtəbə,Nizami m.,1 300AZN/ay
3 otaqlı82 m²8/19 mərtəbə,Bakıxanov q.,350AZN/ay
2 otaqlı110 m²12/18 mərtəbə,Nərimanov r.,1 400AZN/ay
3 otaqlı116 m²5/33 mərtəbə,Səbail r.,2 500AZN/ay
2 otaqlı45 m²1/5 mərtəbə,Səbail r.,350AZN/ay
3 otaqlı45 m²4/5 mərtəbə,Memar Əcəmi m.,400AZN/ay
3 otaqlı70 m²3/5 mərtəbə,İnşaatçılar m.,400AZN/ay
400 m²,Neftçilər m.,4 000AZN/ay
85 m²,Neftçilər m.,950AZN/ay
3 otaqlı120 m²5/16 mərtəbə,Şah İsmayıl Xətai m.,850AZN/ay
350 m²,Türkan q.,300AZN/gün
2 otaqlı70 m²4/18 mərtəbə,20 Yanvar m.,650AZN/ay
2 otaqlı70 m²2/16 mərtəbə,8 Noyabr m.,500AZN/ay
2 otaqlı70 m²4/18 mərtəbə,Elmlər Akademiyası m.,700AZN/ay
2 otaqlı50 m²4/5 mərtəbə,İnşaatçılar m.,450AZN/ay
1 otaqlı35 m²9/18 mərtəbə,Nərimanov r.,500AZN/ay
2 otaqlı125 m²9/18 mərtəbə,Nizami m.,1 600AZN/ay
1 otaqlı14 m²,Nizami m.,150AZN/ay
2 otaqlı80 m²3/18 mərtəbə,Elmlər Akademiyası m.,750AZN/ay
4 otaqlı108 m²,Nəriman Nərimanov m.,1 200AZN/ay
2 otaqlı90 m²13/19 mərtəbə,İnşaatçılar m.,700AZN/ay
15 otaqlı850 m²,8 Noyabr m.,10 000AZN/ay
2 otaqlı65 m²3/18 mərtəbə,20 Yanvar m.,550AZN/ay
3 otaqlı80 m²5/9 mərtəbə,Əhmədli m.,450AZN/ay
4 otaqlı190 m²3/18 mərtəbə,Səbail r.,2 500AZN/ay
2 otaqlı66 m²7/16 mərtəbə,Şah İsmayıl Xətai m.,700AZN/ay
3 otaqlı85 m²6/9 mərtəbə,Yasamal q.,600AZN/ay
2500 m²,İnşaatçılar m.,25 000AZN/ay
420 m²,Xəzər r.,200AZN/gün
2 otaqlı100 m²,Sahil m.,1 300AZN/ay
3 otaqlı195 m²2/9 mərtəbə,İnşaatçılar m.,1 000AZN/ay
2 otaqlı75 m²5/8 mərtəbə,Nəriman Nərimanov m.,600AZN/ay
2 otaqlı90 m²16/17 mərtəbə,Nərimanov r.,600AZN/ay
2 otaqlı60 m²9/16 mərtəbə,20 Yanvar m.,600AZN/ay
320 m²,Mərdəkan q.,300AZN/gün
3 otaqlı100 m²2/3 mərtəbə,Sahil m.,50AZN/gün
4 otaqlı230 m²14/16 mərtəbə,Sahil m.,4 500AZN/ay
3 otaqlı100 m²4/7 mərtəbə,Sahil m.,50AZN/gün
2 otaqlı60 m²3/4 mərtəbə,Sahil m.,35AZN/gün
2 otaqlı125 m²9/20 mərtəbə,Şah İsmayıl Xətai m.,1 300AZN/ay
2 otaqlı70 m²6/11 mərtəbə,Masazır q.,300AZN/ay
3 otaqlı120 m²5/16 mərtəbə,Nizami m.,1 300AZN/ay
1 otaqlı50 m²,Nərimanov r.,1 000AZN/ay
80 m²,Əhmədli q.,1 600AZN/ay
3 otaqlı140 m²16/20 mərtəbə,Nəriman Nərimanov m.,700AZN/ay
2 otaqlı80 m²1/2 mərtəbə,Nəsimi r.,45AZN/gün
5 otaqlı140 m²2/3 mərtəbə,Sahil m.,3 000AZN/ay
350 m²,Nəsimi r.,7 200AZN/ay
350 m²,Şah İsmayıl Xətai m.,7 000AZN/ay
2 otaqlı110 m²14/19 mərtəbə,Elmlər Akademiyası m.,700AZN/ay
2 otaqlı60 m²9/16 mərtəbə,20 Yanvar m.,600AZN/ay
2 otaqlı70 m²14/18 mərtəbə,28 May m.,700AZN/ay
3 otaqlı130 m²4/17 mərtəbə,Nəriman Nərimanov m.,1 200AZN/ay
2 otaqlı60 m²5/9 mərtəbə,Nərimanov r.,550AZN/ay
2 otaqlı60 m²3/5 mərtəbə,Neftçilər m.,500AZN/ay
2 otaqlı60 m²12/19 mərtəbə,20 Yanvar m.,600AZN/ay
2 otaqlı70 m²3/8 mərtəbə,Nəriman Nərimanov m.,600AZN/ay
2 otaqlı100 m²16/16 mərtəbə,Əhmədli m.,850AZN/ay
5 otaqlı210 m²3/3 mərtəbə,Sahil m.,1 600AZN/ay
3 otaqlı110 m²11/17 mərtəbə,Nəsimi r.,1 200AZN/ay
3 otaqlı122 m²4/16 mərtəbə,Nəriman Nərimanov m.,1 200AZN/ay
1 otaqlı40 m²4/7 mərtəbə,Sahil m.,30AZN/gün
2 otaqlı70 m²4/4 mərtəbə,Gənclik m.,700AZN/ay
3 otaqlı100 m²6/7 mərtəbə,Sahil m.,60AZN/gün
2 otaqlı60 m²3/5 mərtəbə,Gənclik m.,550AZN/ay
1 otaqlı50 m²8/16 mərtəbə,Nəsimi r.,600AZN/ay
3 otaqlı70 m²15/16 mərtəbə,Nizami m.,700AZN/ay
2 otaqlı85 m²8/14 mərtəbə,İçəri Şəhər m.,1 200AZN/ay
3 otaqlı50 m²1/5 mərtəbə,7-ci mikrorayon q.,400AZN/ay
3 otaqlı100 m²7/9 mərtəbə,Nəriman Nərimanov m.,800AZN/ay
3 otaqlı95 m²2/3 mərtəbə,Sahil m.,1 400AZN/ay
3 otaqlı65 m²2/5 mərtəbə,Sahil m.,1 000AZN/ay
2 otaqlı80 m²2/16 mərtəbə,Azadlıq Prospekti m.,500AZN/ay
2 otaqlı70 m²15/15 mərtəbə,Nizami m.,900AZN/ay
3 otaqlı140 m²14/20 mərtəbə,Nərimanov r.,100AZN/ay
3 otaqlı170 m²14/16 mərtəbə,Sahil m.,2 500AZN/ay
2 otaqlı57 m²15/16 mərtəbə,Xətai r.,550AZN/ay
130 m²,Səbail r.,2 500AZN/ay
2 otaqlı100 m²11/13 mərtəbə,Nərimanov r.,200AZN/ay
3 otaqlı140 m²25/27 mərtəbə,Yasamal r.,1 200AZN/ay
3 otaqlı140 m²15/17 mərtəbə,Nəriman Nərimanov m.,800AZN/ay
2 otaqlı80 m²9/14 mərtəbə,İçəri Şəhər m.,1 200AZN/ay
3 otaqlı83 m²7/10 mərtəbə,Elmlər Akademiyası m.,950AZN/ay
1500 m²,Nəsimi r.,1 500AZN/ay
3 otaqlı150 m²16/18 mərtəbə,Yasamal r.,1 100AZN/ay
3 otaqlı130 m²9/18 mərtəbə,Nizami m.,1 350AZN/ay
3 otaqlı110 m²10/18 mərtəbə,İçəri Şəhər m.,1 400AZN/ay
2 otaqlı95 m²4/5 mərtəbə,Sahil m.,700AZN/ay
3 otaqlı160 m²6/16 mərtəbə,Nizami m.,700AZN/ay
2 otaqlı100 m²8/18 mərtəbə,Şah İsmayıl Xətai m.,1 300AZN/ay
2 otaqlı70 m²3/9 mərtəbə,Səbail r.,600AZN/ay
2 otaqlı50 m²,Nəsimi r.,1 000AZN/ay
3 otaqlı127 m²16/23 mərtəbə,28 May m.,1 500AZN/ay
2 otaqlı130 m²4/18 mərtəbə,Nəsimi r.,1 800AZN/ay
2 otaqlı72 m²10/17 mərtəbə,Nərimanov r.,750AZN/ay
3 otaqlı130 m²8/16 mərtəbə,İnşaatçılar m.,1 360AZN/ay
720 m²,Koroğlu m.,2 900AZN/ay
3 otaqlı173 m²10/16 mərtəbə,Nəsimi r.,850AZN/ay
3 otaqlı130 m²,Yeni Yasamal q.,600AZN/ay
2 otaqlı105 m²17/27 mərtəbə,Yasamal r.,1 000AZN/ay
2 otaqlı110 m²8/21 mərtəbə,28 May m.,1 200AZN/ay
3 otaqlı110 m²4/15 mərtəbə,Şah İsmayıl Xətai m.,899AZN/ay
4 otaqlı125 m²,Səbail r.,1 750AZN/ay
174 m²,Şah İsmayıl Xətai m.,2 500AZN/ay
2 otaqlı80 m²14/16 mərtəbə,Nəsimi r.,700AZN/ay
2 otaqlı102 m²14/16 mərtəbə,Şah İsmayıl Xətai m.,900AZN/ay
3 otaqlı180 m²3/30 mərtəbə,Nəsimi r.,3 500AZN/ay
3 otaqlı120 m²8/16 mərtəbə,Nərimanov r.,1 000AZN/ay
1 otaqlı31 m²5/5 mərtəbə,Yasamal q.,350AZN/ay
305 m²,Xəzər r.,2 000AZN/ay
3 otaqlı103 m²11/17 mərtəbə,Gənclik m.,1 200AZN/ay
2 otaqlı105 m²7/18 mərtəbə,28 May m.,1 500AZN/ay
2 otaqlı85 m²7/16 mərtəbə,Şah İsmayıl Xətai m.,700AZN/ay
5 otaqlı350 m²,Səbail r.,2 500AZN/ay
2 otaqlı60 m²3/8 mərtəbə,Nəriman Nərimanov m.,600AZN/ay
3 otaqlı160 m²2/18 mərtəbə,Yeni Yasamal q.,600AZN/ay
1300 m²,Binəqədi r.,5 000AZN/ay
2 otaqlı45 m²4/5 mərtəbə,Nərimanov r.,500AZN/ay
300 m²,Nəsimi r.,6 000AZN/ay
3 otaqlı70 m²15/16 mərtəbə,Nizami m.,700AZN/ay
3 otaqlı100 m²2/20 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
2 otaqlı100 m²3/7 mərtəbə,Sahil m.,1 300AZN/ay
3 otaqlı175 m²4/16 mərtəbə,Elmlər Akademiyası m.,900AZN/ay
2 otaqlı50 m²2/5 mərtəbə,Neftçilər m.,450AZN/ay
3 otaqlı60 m²1/5 mərtəbə,Nəsimi m.,600AZN/ay
3 otaqlı130 m²11/18 mərtəbə,Nəriman Nərimanov m.,1 300AZN/ay
3 otaqlı140 m²5/6 mərtəbə,Xətai r.,2 000AZN/ay
3 otaqlı130 m²6/21 mərtəbə,Nərimanov r.,899AZN/ay
5 otaqlı200 m²4/5 mərtəbə,28 May m.,1 200AZN/ay
3 otaqlı100 m²2/20 mərtəbə,Şah İsmayıl Xətai m.,850AZN/ay
120 m²,Nəriman Nərimanov m.,1 600AZN/ay
2 otaqlı65 m²11/18 mərtəbə,Memar Əcəmi m.,500AZN/ay
2 otaqlı45 m²1/5 mərtəbə,Yasamal q.,550AZN/ay
100 m²,Xətai r.,3 500AZN/ay
3 otaqlı130 m²7/30 mərtəbə,Səbail r.,3 000AZN/ay
4 otaqlı140 m²13/16 mərtəbə,Nərimanov r.,1 300AZN/ay
2 otaqlı65 m²17/18 mərtəbə,Nərimanov r.,600AZN/ay
4 otaqlı200 m²3/20 mərtəbə,Nəsimi r.,2 500AZN/ay
3 otaqlı148 m²25/27 mərtəbə,Nəsimi r.,1 200AZN/ay
2 otaqlı60 m²5/5 mərtəbə,Xalqlar Dostluğu m.,300AZN/ay
3 otaqlı150 m²20/27 mərtəbə,Nəsimi r.,1 100AZN/ay
4 otaqlı175 m²14/17 mərtəbə,Şah İsmayıl Xətai m.,900AZN/ay
4 otaqlı100 m²3/4 mərtəbə,Şah İsmayıl Xətai m.,700AZN/ay
3 otaqlı75 m²4/9 mərtəbə,Nizami r.,500AZN/ay
200 m²,İçəri Şəhər m.,6 000AZN/ay
1 otaqlı42 m²9/12 mərtəbə,Xırdalan,320AZN/ay
3 otaqlı98 m²1/2 mərtəbə,İçəri Şəhər m.,800AZN/ay
7 otaqlı300 m²,Səbail r.,3 500AZN/ay
2 otaqlı72 m²5/5 mərtəbə,28 May m.,550AZN/ay
3 otaqlı98 m²1/2 mərtəbə,İçəri Şəhər m.,800AZN/ay
4 otaqlı150 m²,Qusar,150AZN/gün
400 m²,Biləcəri q.,2 400AZN/ay
3 otaqlı105 m²18/22 mərtəbə,Şah İsmayıl Xətai m.,850AZN/ay
2 otaqlı60 m²7/17 mərtəbə,Şah İsmayıl Xətai m.,750AZN/ay
2 otaqlı60 m²13/18 mərtəbə,İnşaatçılar m.,550AZN/ay
2 otaqlı65 m²4/5 mərtəbə,İnşaatçılar m.,380AZN/ay
3 otaqlı140 m²7/19 mərtəbə,Şah İsmayıl Xətai m.,1 300AZN/ay
4 otaqlı230 m²7/18 mərtəbə,Nəsimi r.,1 700AZN/ay
2 otaqlı60 m²3/18 mərtəbə,Həzi Aslanov q.,500AZN/ay
2 otaqlı90 m²14/20 mərtəbə,Əhmədli m.,450AZN/ay
3 otaqlı110 m²11/17 mərtəbə,Nərimanov r.,1 200AZN/ay
2 otaqlı65 m²,Sahil m.,1 000AZN/ay
4 otaqlı120 m²,Quba,100AZN/gün
3 otaqlı130 m²4/16 mərtəbə,Nəriman Nərimanov m.,1 200AZN/ay
3 otaqlı135 m²7/20 mərtəbə,Nəsimi r.,1 200AZN/ay
2 otaqlı62 m²13/16 mərtəbə,Bayıl q.,500AZN/ay
3 otaqlı220 m²14/20 mərtəbə,28 May m.,1 490AZN/ay
14 otaqlı530 m²,Nərimanov r.,6 000AZN/ay
3 otaqlı110 m²7/17 mərtəbə,Şah İsmayıl Xətai m.,850AZN/ay
3 otaqlı130 m²8/18 mərtəbə,Nizami m.,1 360AZN/ay
3 otaqlı140 m²4/19 mərtəbə,Nəriman Nərimanov m.,1 199AZN/ay
3 otaqlı98 m²1/2 mərtəbə,İçəri Şəhər m.,800AZN/ay
3 otaqlı80 m²2/5 mərtəbə,Nəriman Nərimanov m.,500AZN/ay
2 otaqlı67 m²15/17 mərtəbə,İnşaatçılar m.,500AZN/ay
3 otaqlı140 m²17/18 mərtəbə,Şah İsmayıl Xətai m.,1 699AZN/ay
7 otaqlı150 m²,8 Noyabr m.,1 600AZN/ay
3 otaqlı127 m²13/18 mərtəbə,Nəsimi r.,900AZN/ay
100 m²,İnşaatçılar m.,2 300AZN/ay
4 otaqlı150 m²,Quba,90AZN/gün
3 otaqlı120 m²10/18 mərtəbə,Şah İsmayıl Xətai m.,850AZN/ay
3 otaqlı130 m²4/18 mərtəbə,Nəriman Nərimanov m.,1 200AZN/ay
2 otaqlı70 m²2/18 mərtəbə,Yasamal r.,470AZN/ay
3 otaqlı170 m²14/17 mərtəbə,Gənclik m.,1 450AZN/ay
2 otaqlı35 m²,Bayıl q.,180AZN/ay
3 otaqlı131 m²12/19 mərtəbə,Elmlər Akademiyası m.,1 200AZN/ay
500 m²,Nizami r.,1 500AZN/ay
90 m²,Yasamal q.,1 400AZN/ay
2 otaqlı60 m²3/5 mərtəbə,Sahil m.,800AZN/ay
25 m²,Nəriman Nərimanov m.,800AZN/ay
2 otaqlı82 m²3/9 mərtəbə,Səbail r.,600AZN/ay
2 otaqlı40 m²2/9 mərtəbə,Səbail r.,600AZN/ay
13 otaqlı550 m²,Nəsimi r.,4 200AZN/ay
4 otaqlı200 m²17/32 mərtəbə,Səbail r.,4 000AZN/ay
3 otaqlı73 m²3/18 mərtəbə,Memar Əcəmi m.,450AZN/ay
3 otaqlı115 m²15/18 mərtəbə,Nərimanov r.,900AZN/ay
3 otaqlı125 m²3/16 mərtəbə,Nizami m.,1 000AZN/ay
3 otaqlı100 m²17/18 mərtəbə,Xətai r.,710AZN/ay
2 otaqlı77 m²13/16 mərtəbə,Nəsimi r.,700AZN/ay
3 otaqlı150 m²16/20 mərtəbə,Yasamal r.,1 100AZN/ay
2 otaqlı80 m²3/16 mərtəbə,Səbail r.,500AZN/ay
1 otaqlı40 m²,Qara Qarayev m.,390AZN/ay
2 otaqlı50 m²2/5 mərtəbə,Yasamal r.,430AZN/ay
2 otaqlı65 m²2/16 mərtəbə,20 Yanvar m.,450AZN/ay
4 otaqlı170 m²9/18 mərtəbə,Nərimanov r.,1 100AZN/ay
2 otaqlı76 m²12/21 mərtəbə,20 Yanvar m.,500AZN/ay
2 otaqlı62 m²12/17 mərtəbə,Nizami m.,600AZN/ay
3 otaqlı140 m²7/19 mərtəbə,Nizami m.,1 000AZN/ay
2 otaqlı90 m²8/20 mərtəbə,Nəriman Nərimanov m.,600AZN/ay
2 otaqlı80 m²3/9 mərtəbə,Səbail r.,600AZN/ay
180 m²,Nəsimi r.,2 500AZN/ay
3 otaqlı130 m²4/16 mərtəbə,Nərimanov r.,1 200AZN/ay
3 otaqlı185 m²16/18 mərtəbə,Nizami m.,1 500AZN/ay
3 otaqlı115 m²5/17 mərtəbə,Sahil m.,1 500AZN/ay
3 otaqlı60 m²10/19 mərtəbə,Əhmədli q.,470AZN/ay
3 otaqlı140 m²11/22 mərtəbə,Nərimanov r.,750AZN/ay
3 otaqlı75 m²5/9 mərtəbə,Gənclik m.,420AZN/ay
2 otaqlı40 m²5/5 mərtəbə,7-ci mikrorayon q.,350AZN/ay
3 otaqlı100 m²2/20 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
7 otaqlı200 m²,Nəriman Nərimanov m.,2 500AZN/ay
2 otaqlı50 m²1/5 mərtəbə,İçəri Şəhər m.,600AZN/ay
2 otaqlı85 m²7/16 mərtəbə,Şah İsmayıl Xətai m.,750AZN/ay
2 otaqlı125 m²8/20 mərtəbə,Nizami m.,1 700AZN/ay
6 otaqlı300 m²,Səbail r.,8 000AZN/ay
2 otaqlı48 m²2/5 mərtəbə,İnşaatçılar m.,400AZN/ay
2 otaqlı76 m²13/16 mərtəbə,İnşaatçılar m.,600AZN/ay
3 otaqlı185 m²12/16 mərtəbə,Səbail r.,2 200AZN/ay
2 otaqlı85 m²12/17 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
2 otaqlı75 m²14/16 mərtəbə,Nəsimi r.,700AZN/ay
2 otaqlı65 m²3/5 mərtəbə,Neftçilər m.,490AZN/ay
3 otaqlı115 m²12/20 mərtəbə,20 Yanvar m.,700AZN/ay
2 otaqlı50 m²2/5 mərtəbə,Neftçilər m.,450AZN/ay
3 otaqlı65 m²7/20 mərtəbə,Qara Qarayev m.,450AZN/ay
2 otaqlı60 m²2/5 mərtəbə,Yasamal r.,550AZN/ay
3 otaqlı150 m²16/18 mərtəbə,Yasamal r.,1 100AZN/ay
60 m²,Nəriman Nərimanov m.,1 600AZN/ay
3 otaqlı120 m²10/18 mərtəbə,Şah İsmayıl Xətai m.,800AZN/ay
45 m²,İnşaatçılar m.,350AZN/ay
2 otaqlı50 m²3/3 mərtəbə,Nizami m.,750AZN/ay
2 otaqlı60 m²9/16 mərtəbə,İnşaatçılar m.,600AZN/ay
60 m²,İçəri Şəhər m.,1 000AZN/ay
6 otaqlı257 m²,Şah İsmayıl Xətai m.,3 600AZN/ay
3 otaqlı103 m²11/17 mərtəbə,Nəsimi r.,1 200AZN/ay
2 otaqlı50 m²2/5 mərtəbə,Neftçilər m.,450AZN/ay
2 otaqlı80 m²3/16 mərtəbə,Nəriman Nərimanov m.,600AZN/ay
2 otaqlı80 m²15/17 mərtəbə,İnşaatçılar m.,740AZN/ay
3 otaqlı60 m²1/5 mərtəbə,Həzi Aslanov q.,500AZN/ay
700 m²,Əhmədli m.,15 000AZN/ay
2 otaqlı52 m²19/20 mərtəbə,20 Yanvar m.,500AZN/ay
