,Locations,Prices,Floor,Area,Rooms
126,28 May m.,40,2/5 ,94 ,3 
127,28 May m.,40,3/5 ,74 ,2 
128,İnşaatçılar m.,36000,8/16 ,136 ,3 
129,İnşaatçılar m.,30000,8/16 ,96 ,2 
130,Şah İsmayıl Xətai m.,30000,6/19 ,150 ,3 
131,Yasamal r.,18000,2/18 ,100 ,3 
132,Səbail r.,24000,8/14 ,80 ,2 
133,Xətai r.,60000,19/23 ,220 ,3 
134,Əhmədli q.,12000,,40 ,
135,9-cu mikrorayon q.,9000,4/9 ,40 ,1 
136,Şah İsmayıl Xətai m.,75000,14/27 ,250 ,4 
137,Qəbələ,21000,,100 ,3 
138,Badamdar q.,9000,4/4 ,35 ,2 
139,Nəsimi r.,30000,8/16 ,200 ,3 
140,Nəriman Nərimanov m.,16500,5/18 ,100 ,3 
141,Şah İsmayıl Xətai m.,19500,7/18 ,100 ,2 
142,Şah İsmayıl Xətai m.,60000,19/20 ,200 ,4 
143,Şah İsmayıl Xətai m.,30000,12/18 ,73 ,2 
144,28 May m.,48000,,80 ,
145,Gənclik m.,105000,,220 ,7 
146,Şah İsmayıl Xətai m.,69000,18/18 ,181 ,4 
147,Nizami r.,3900,,200 ,4 
148,Nəsimi r.,27000,7/17 ,200 ,4 
149,Nəriman Nərimanov m.,24000,12/17 ,130 ,3 
150,Səbail r.,22500,14/16 ,90 ,2 
151,Nəsimi r.,66000,5/18 ,220 ,4 
152,Memar Əcəmi m.,11100,3/5 ,40 ,2 
153,Nəsimi r.,33000,8/18 ,180 ,4 
154,Nəsimi r.,36000,11/18 ,130 ,3 
155,Memar Əcəmi m.,9000,5/18 ,40 ,1 
156,Memar Əcəmi m.,25500,10/16 ,173 ,3 
157,Şah İsmayıl Xətai m.,60000,19/23 ,220 ,3 
158,Həzi Aslanov m.,13500,15/18 ,90 ,3 
159,Nizami m.,42000,,70 ,
160,Nəsimi r.,45000,2/10 ,160 ,4 
161,Bayıl q.,10500,1/2 ,50 ,2 
162,Elmlər Akademiyası m.,22500,8/16 ,150 ,3 
163,Şah İsmayıl Xətai m.,60000,9/21 ,100 ,3 
164,Nizami m.,39000,4/18 ,128 ,3 
165,Yasamal r.,27000,8/27 ,106 ,2 
