,Locations,Prices,Floor,Area,Rooms
1384,İnşaatçılar m.,6000,,70 ,
1385,Nərimanov r.,54000,,150 ,4 
1386,Nəriman Nərimanov m.,45000,15/18 ,130 ,3 
1387,Nərimanov r.,13500,4/5 ,45 ,2 
1388,Şah İsmayıl Xətai m.,27000,6/16 ,140 ,3 
1389,Nəriman Nərimanov m.,25500,9/15 ,80 ,3 
1390,Nizami r.,21000,15/18 ,90 ,3 
1391,Sahil m.,40,8/20 ,80 ,2 
1392,Şah İsmayıl Xətai m.,45000,15/16 ,180 ,4 
1393,Nərimanov r.,39000,13/16 ,140 ,4 
1394,Nizami r.,7500,3/5 ,20 ,1 
1395,Nərimanov r.,25500,16/17 ,75 ,2 
1396,İnşaatçılar m.,14100,8/20 ,60 ,2 
1397,8-ci mikrorayon q.,18000,9/10 ,135 ,3 
1398,Yeni Yasamal q.,18000,11/13 ,90 ,3 
1399,Yeni Yasamal q.,13500,15/18 ,65 ,2 
1400,Memar Əcəmi m.,13500,2/5 ,65 ,3 
1401,Xətai r.,45000,18/22 ,220 ,3 
1402,Xalqlar Dostluğu m.,18000,6/16 ,100 ,3 
1403,Elmlər Akademiyası m.,54000,6/20 ,206 ,4 
1404,Nərimanov r.,63000,,170 ,4 
1405,Gənclik m.,13500,4/5 ,55 ,2 
1406,İnşaatçılar m.,34500,6/17 ,120 ,2 
1407,Neftçilər m.,13500,2/5 ,50 ,2 
1408,Şah İsmayıl Xətai m.,30000,10/19 ,122 ,3 
1409,28 May m.,25500,5/7 ,100 ,3 
1410,Şah İsmayıl Xətai m.,24000,19/24 ,147 ,3 
1411,Elmlər Akademiyası m.,13500,7/9 ,39 ,2 
1412,Nəsimi r.,22500,6/22 ,140 ,3 
1413,Sahil m.,330000,,124 ,
1414,Şah İsmayıl Xətai m.,180000,26/27 ,385 ,4 
1415,28 May m.,33000,2/16 ,145 ,3 
1416,Nəsimi r.,45000,13/20 ,220 ,3 
1417,Sahil m.,70,3/5 ,120 ,4 
1418,Nizami m.,36000,,130 ,
1419,Nəsimi r.,36000,8/16 ,170 ,3 
1420,Nəsimi r.,25500,2/7 ,130 ,4 
1421,Nəriman Nərimanov m.,21000,8/9 ,120 ,3 
1422,Şah İsmayıl Xətai m.,25500,13/16 ,105 ,3 
1423,20 Yanvar m.,22500,2/16 ,145 ,3 
1424,20 Yanvar m.,21000,3/18 ,75 ,2 
1425,M.Ə.Rəsulzadə q.,7500,,50 ,2 
1426,Şah İsmayıl Xətai m.,45000,8/16 ,125 ,3 
1427,Mərdəkan q.,200,,300 ,
1428,Bayıl q.,15000,16/17 ,60 ,2 
1429,Şah İsmayıl Xətai m.,42000,,68 ,2 
1430,Xalqlar Dostluğu m.,42000,,160 ,
1431,Mehdiabad q.,4200,,90 ,4 
1432,Nəsimi r.,28500,3/17 ,100 ,2 
1433,Yasamal r.,12000,3/5 ,40 ,1 
1434,Nərimanov r.,28500,14/16 ,120 ,3 
1435,Nəsimi r.,11400,,40 ,
1436,28 May m.,54000,3/18 ,200 ,4 
1437,Nərimanov r.,21000,8/12 ,80 ,2 
1438,Xətai r.,12600,6/10 ,110 ,3 
1439,Şah İsmayıl Xətai m.,27000,13/18 ,120 ,3 
1440,İnşaatçılar m.,15000,7/9 ,110 ,4 
1441,Nizami r.,18000,12/19 ,85 ,3 
1442,İnşaatçılar m.,14100,10/16 ,55 ,2 
1443,Nərimanov r.,60000,,130 ,
1444,28 May m.,33000,,140 ,3 
1445,Memar Əcəmi m.,33000,11/16 ,133 ,3 
1446,Nizami r.,39000,12/18 ,152 ,4 
1447,28 May m.,33000,2/21 ,200 ,3 
1448,Elmlər Akademiyası m.,13500,5/5 ,50 ,2 
1449,Nərimanov r.,21000,8/12 ,90 ,2 
1450,Nəsimi r.,12000,2/3 ,50 ,2 
1451,Nərimanov r.,36000,19/21 ,200 ,4 
1452,Memar Əcəmi m.,12000,3/5 ,45 ,3 
1453,Nizami m.,13500,1/10 ,70 ,2 
1454,Nəsimi r.,105000,,300 ,2 
1455,Elmlər Akademiyası m.,27000,9/16 ,110 ,3 
1456,Gənclik m.,19500,3/10 ,97 ,3 
1457,Nizami m.,13500,,41 ,3 
1458,Xırdalan,10500,7/16 ,50 ,2 
1459,Nəsimi r.,10500,2/5 ,34 ,1 
1460,Nizami m.,39000,12/18 ,152 ,4 
1461,1-ci mikrorayon q.,10500,13/16 ,52 ,1 
1462,Nərimanov r.,36000,9/16 ,110 ,3 
1463,Qəbələ,90,,100 ,3 
1464,Elmlər Akademiyası m.,21000,4/16 ,85 ,2 
1465,Elmlər Akademiyası m.,75000,,80 ,
1466,Bayıl q.,15000,13/16 ,70 ,2 
1467,İnşaatçılar m.,13500,9/19 ,62 ,2 
1468,Xətai r.,13500,,30 ,
1469,Yasamal r.,90000,,300 ,5 
1470,Memar Əcəmi m.,13500,5/5 ,75 ,3 
1471,Nəsimi r.,36000,9/16 ,125 ,3 
1472,Həzi Aslanov m.,12000,8/9 ,65 ,2 
1473,Elmlər Akademiyası m.,210000,,300 ,2 
1474,Nərimanov r.,18000,16/17 ,90 ,2 
1475,Badamdar q.,54000,,650 ,7 
1476,Nərimanov r.,45000,,55 ,
1477,Elmlər Akademiyası m.,12000,,55 ,2 
1478,İçəri Şəhər m.,39000,4/16 ,125 ,3 
1479,Memar Əcəmi m.,16500,2/17 ,118 ,3 
1480,Nəriman Nərimanov m.,18000,1/5 ,42 ,2 
1481,Nərimanov r.,18000,3/5 ,60 ,3 
1482,Nəriman Nərimanov m.,21000,8/12 ,80 ,2 
1483,Nəriman Nərimanov m.,21000,8/12 ,85 ,2 
1484,Nəriman Nərimanov m.,19500,7/16 ,75 ,2 
1485,20 Yanvar m.,18000,9/16 ,60 ,2 
1486,Nəriman Nərimanov m.,21000,8/13 ,80 ,2 
1487,28 May m.,33000,8/17 ,200 ,4 
1488,Nəriman Nərimanov m.,19500,8/12 ,80 ,2 
1489,Azadlıq Prospekti m.,36000,,300 ,8 
1490,Nəsimi r.,18000,13/17 ,86 ,2 
1491,20 Yanvar m.,13500,19/20 ,55 ,2 
1492,Şah İsmayıl Xətai m.,21000,4/15 ,122 ,3 
1493,Nəriman Nərimanov m.,21000,15/21 ,120 ,3 
1494,Nəriman Nərimanov m.,19500,7/16 ,75 ,2 
1495,İçəri Şəhər m.,750000,,440 ,
1496,Xətai r.,10500,1/2 ,55 ,2 
1497,Şah İsmayıl Xətai m.,22500,15/20 ,105 ,2 
1498,Neftçilər m.,10500,,35 ,
1499,Yasamal q.,36000,7/20 ,90 ,2 
1500,Gənclik m.,15780,17/20 ,70 ,2 
1501,Nərimanov r.,13500,4/5 ,42 ,2 
1502,Gənclik m.,170,,22 ,
1503,Nərimanov r.,12000,1/5 ,58 ,2 
1504,9-cu mikrorayon q.,36000,,80 ,3 
1505,Yasamal r.,18000,4/8 ,70 ,2 
1506,Şamaxı,200,,200 ,5 
1507,Yeni Yasamal q.,15000,7/9 ,102 ,4 
1508,Memar Əcəmi m.,8400,5/5 ,50 ,2 
1509,Qaraçuxur q.,67500,1/5 ,450 ,1 
1510,Sahil m.,54000,,120 ,
1511,Xırdalan,15000,,110 ,3 
1512,Qaraçuxur q.,24000,1/4 ,106 ,1 
1513,Şah İsmayıl Xətai m.,51000,18/24 ,210 ,3 
1514,Nəsimi r.,45000,16/22 ,250 ,4 
1515,28 May m.,25500,5/7 ,85 ,3 
1516,Nəsimi r.,100,,163 ,4 
1517,20 Yanvar m.,13500,3/16 ,31 ,1 
1518,Binəqədi q.,7500,,45 ,2 
1519,Nizami m.,33000,15/20 ,70 ,2 
1520,Azadlıq Prospekti m.,15000,7/9 ,60 ,2 
1521,Novxanı q.,200,,400 ,
1522,Neftçilər m.,10500,2/9 ,65 ,2 
1523,Həzi Aslanov q.,50,10/12 ,70 ,2 
1524,Mərdəkan q.,200,,410 ,
1525,Bilgəh q.,200,,400 ,
1526,Nərimanov r.,45000,,300 ,
1527,Hövsan q.,8400,5/7 ,64 ,2 
1528,Nəriman Nərimanov m.,150000,,220 ,
1529,Memar Əcəmi m.,10500,1/5 ,55 ,2 
1530,Memar Əcəmi m.,13500,3/16 ,75 ,3 
1531,Yasamal q.,13500,3/5 ,55 ,2 
1532,Buzovna q.,10500,,32 ,
1533,İçəri Şəhər m.,15000,2/2 ,60 ,2 
1534,Sahil m.,120,2/4 ,213 ,4 
1535,Sumqayıt,4500,2/2 ,40 ,2 
1536,Nizami m.,39000,12/18 ,152 ,4 
1537,Bakıxanov q.,10500,8/19 ,82 ,3 
1538,Nərimanov r.,42000,12/18 ,110 ,2 
1539,Səbail r.,75000,5/33 ,116 ,3 
1540,Səbail r.,10500,1/5 ,45 ,2 
1541,Memar Əcəmi m.,12000,4/5 ,45 ,3 
1542,İnşaatçılar m.,12000,3/5 ,70 ,3 
1543,Neftçilər m.,120000,,400 ,
1544,Neftçilər m.,28500,,85 ,
1545,Şah İsmayıl Xətai m.,25500,5/16 ,120 ,3 
1546,Türkan q.,300,,350 ,
1547,20 Yanvar m.,19500,4/18 ,70 ,2 
1548,8 Noyabr m.,15000,2/16 ,70 ,2 
1549,Elmlər Akademiyası m.,21000,4/18 ,70 ,2 
1550,İnşaatçılar m.,13500,4/5 ,50 ,2 
1551,Nərimanov r.,15000,9/18 ,35 ,1 
1552,Nizami m.,48000,9/18 ,125 ,2 
1553,Nizami m.,4500,,14 ,1 
1554,Elmlər Akademiyası m.,22500,3/18 ,80 ,2 
1555,Nəriman Nərimanov m.,36000,,108 ,4 
1556,İnşaatçılar m.,21000,13/19 ,90 ,2 
1557,8 Noyabr m.,300000,,850 ,5 
1558,20 Yanvar m.,16500,3/18 ,65 ,2 
1559,Əhmədli m.,13500,5/9 ,80 ,3 
1560,Səbail r.,75000,3/18 ,190 ,4 
1561,Şah İsmayıl Xətai m.,21000,7/16 ,66 ,2 
1562,Yasamal q.,18000,6/9 ,85 ,3 
1563,İnşaatçılar m.,750000,,2500 ,
1564,Xəzər r.,200,,420 ,
1565,Sahil m.,39000,,100 ,2 
1566,İnşaatçılar m.,30000,2/9 ,195 ,3 
1567,Nəriman Nərimanov m.,18000,5/8 ,75 ,2 
1568,Nərimanov r.,18000,16/17 ,90 ,2 
1569,20 Yanvar m.,18000,9/16 ,60 ,2 
1570,Mərdəkan q.,300,,320 ,
1571,Sahil m.,50,2/3 ,100 ,3 
1572,Sahil m.,135000,14/16 ,230 ,4 
1573,Sahil m.,50,4/7 ,100 ,3 
1574,Sahil m.,35,3/4 ,60 ,2 
1575,Şah İsmayıl Xətai m.,39000,9/20 ,125 ,2 
1576,Masazır q.,9000,6/11 ,70 ,2 
1577,Nizami m.,39000,5/16 ,120 ,3 
1578,Nərimanov r.,30000,,50 ,1 
1579,Əhmədli q.,48000,,80 ,
1580,Nəriman Nərimanov m.,21000,16/20 ,140 ,3 
1581,Nəsimi r.,45,1/2 ,80 ,2 
1582,Sahil m.,90000,2/3 ,140 ,5 
1583,Nəsimi r.,216000,,350 ,
1584,Şah İsmayıl Xətai m.,210000,,350 ,
1585,Elmlər Akademiyası m.,21000,14/19 ,110 ,2 
1586,20 Yanvar m.,18000,9/16 ,60 ,2 
1587,28 May m.,21000,14/18 ,70 ,2 
1588,Nəriman Nərimanov m.,36000,4/17 ,130 ,3 
1589,Nərimanov r.,16500,5/9 ,60 ,2 
1590,Neftçilər m.,15000,3/5 ,60 ,2 
1591,20 Yanvar m.,18000,12/19 ,60 ,2 
1592,Nəriman Nərimanov m.,18000,3/8 ,70 ,2 
1593,Əhmədli m.,25500,16/16 ,100 ,2 
1594,Sahil m.,48000,3/3 ,210 ,5 
1595,Nəsimi r.,36000,11/17 ,110 ,3 
1596,Nəriman Nərimanov m.,36000,4/16 ,122 ,3 
1597,Sahil m.,30,4/7 ,40 ,1 
1598,Gənclik m.,21000,4/4 ,70 ,2 
1599,Sahil m.,60,6/7 ,100 ,3 
1600,Gənclik m.,16500,3/5 ,60 ,2 
1601,Nəsimi r.,18000,8/16 ,50 ,1 
1602,Nizami m.,21000,15/16 ,70 ,3 
1603,İçəri Şəhər m.,36000,8/14 ,85 ,2 
1604,7-ci mikrorayon q.,12000,1/5 ,50 ,3 
1605,Nəriman Nərimanov m.,24000,7/9 ,100 ,3 
1606,Sahil m.,42000,2/3 ,95 ,3 
1607,Sahil m.,30000,2/5 ,65 ,3 
1608,Azadlıq Prospekti m.,15000,2/16 ,80 ,2 
1609,Nizami m.,27000,15/15 ,70 ,2 
1610,Nərimanov r.,3000,14/20 ,140 ,3 
1611,Sahil m.,75000,14/16 ,170 ,3 
1612,Xətai r.,16500,15/16 ,57 ,2 
1613,Səbail r.,75000,,130 ,
1614,Nərimanov r.,6000,11/13 ,100 ,2 
1615,Yasamal r.,36000,25/27 ,140 ,3 
1616,Nəriman Nərimanov m.,24000,15/17 ,140 ,3 
1617,İçəri Şəhər m.,36000,9/14 ,80 ,2 
1618,Elmlər Akademiyası m.,28500,7/10 ,83 ,3 
1619,Nəsimi r.,45000,,1500 ,
1620,Yasamal r.,33000,16/18 ,150 ,3 
1621,Nizami m.,40500,9/18 ,130 ,3 
1622,İçəri Şəhər m.,42000,10/18 ,110 ,3 
1623,Sahil m.,21000,4/5 ,95 ,2 
1624,Nizami m.,21000,6/16 ,160 ,3 
1625,Şah İsmayıl Xətai m.,39000,8/18 ,100 ,2 
1626,Səbail r.,18000,3/9 ,70 ,2 
1627,Nəsimi r.,30000,,50 ,2 
1628,28 May m.,45000,16/23 ,127 ,3 
1629,Nəsimi r.,54000,4/18 ,130 ,2 
1630,Nərimanov r.,22500,10/17 ,72 ,2 
1631,İnşaatçılar m.,40800,8/16 ,130 ,3 
1632,Koroğlu m.,87000,,720 ,
1633,Nəsimi r.,25500,10/16 ,173 ,3 
1634,Yeni Yasamal q.,18000,,130 ,3 
1635,Yasamal r.,30000,17/27 ,105 ,2 
1636,28 May m.,36000,8/21 ,110 ,2 
1637,Şah İsmayıl Xətai m.,26970,4/15 ,110 ,3 
1638,Səbail r.,52500,,125 ,4 
1639,Şah İsmayıl Xətai m.,75000,,174 ,
1640,Nəsimi r.,21000,14/16 ,80 ,2 
1641,Şah İsmayıl Xətai m.,27000,14/16 ,102 ,2 
1642,Nəsimi r.,105000,3/30 ,180 ,3 
1643,Nərimanov r.,30000,8/16 ,120 ,3 
1644,Yasamal q.,10500,5/5 ,31 ,1 
1645,Xəzər r.,60000,,305 ,
1646,Gənclik m.,36000,11/17 ,103 ,3 
1647,28 May m.,45000,7/18 ,105 ,2 
1648,Şah İsmayıl Xətai m.,21000,7/16 ,85 ,2 
1649,Səbail r.,75000,,350 ,5 
1650,Nəriman Nərimanov m.,18000,3/8 ,60 ,2 
1651,Yeni Yasamal q.,18000,2/18 ,160 ,3 
1652,Binəqədi r.,150000,,1300 ,
1653,Nərimanov r.,15000,4/5 ,45 ,2 
1654,Nəsimi r.,180000,,300 ,
1655,Nizami m.,21000,15/16 ,70 ,3 
1656,Şah İsmayıl Xətai m.,24000,2/20 ,100 ,3 
1657,Sahil m.,39000,3/7 ,100 ,2 
1658,Elmlər Akademiyası m.,27000,4/16 ,175 ,3 
1659,Neftçilər m.,13500,2/5 ,50 ,2 
1660,Nəsimi m.,18000,1/5 ,60 ,3 
1661,Nəriman Nərimanov m.,39000,11/18 ,130 ,3 
1662,Xətai r.,60000,5/6 ,140 ,3 
1663,Nərimanov r.,26970,6/21 ,130 ,3 
1664,28 May m.,36000,4/5 ,200 ,5 
1665,Şah İsmayıl Xətai m.,25500,2/20 ,100 ,3 
1666,Nəriman Nərimanov m.,48000,,120 ,
1667,Memar Əcəmi m.,15000,11/18 ,65 ,2 
1668,Yasamal q.,16500,1/5 ,45 ,2 
1669,Xətai r.,105000,,100 ,
1670,Səbail r.,90000,7/30 ,130 ,3 
1671,Nərimanov r.,39000,13/16 ,140 ,4 
1672,Nərimanov r.,18000,17/18 ,65 ,2 
1673,Nəsimi r.,75000,3/20 ,200 ,4 
1674,Nəsimi r.,36000,25/27 ,148 ,3 
1675,Xalqlar Dostluğu m.,9000,5/5 ,60 ,2 
1676,Nəsimi r.,33000,20/27 ,150 ,3 
1677,Şah İsmayıl Xətai m.,27000,14/17 ,175 ,4 
1678,Şah İsmayıl Xətai m.,21000,3/4 ,100 ,4 
1679,Nizami r.,15000,4/9 ,75 ,3 
1680,İçəri Şəhər m.,180000,,200 ,
1681,Xırdalan,9600,9/12 ,42 ,1 
1682,İçəri Şəhər m.,24000,1/2 ,98 ,3 
1683,Səbail r.,105000,,300 ,7 
1684,28 May m.,16500,5/5 ,72 ,2 
1685,İçəri Şəhər m.,24000,1/2 ,98 ,3 
1686,Qusar,150,,150 ,4 
1687,Biləcəri q.,72000,,400 ,
1688,Şah İsmayıl Xətai m.,25500,18/22 ,105 ,3 
1689,Şah İsmayıl Xətai m.,22500,7/17 ,60 ,2 
1690,İnşaatçılar m.,16500,13/18 ,60 ,2 
1691,İnşaatçılar m.,11400,4/5 ,65 ,2 
1692,Şah İsmayıl Xətai m.,39000,7/19 ,140 ,3 
1693,Nəsimi r.,51000,7/18 ,230 ,4 
1694,Həzi Aslanov q.,15000,3/18 ,60 ,2 
1695,Əhmədli m.,13500,14/20 ,90 ,2 
1696,Nərimanov r.,36000,11/17 ,110 ,3 
1697,Sahil m.,30000,,65 ,2 
1698,Quba,100,,120 ,4 
1699,Nəriman Nərimanov m.,36000,4/16 ,130 ,3 
1700,Nəsimi r.,36000,7/20 ,135 ,3 
1701,Bayıl q.,15000,13/16 ,62 ,2 
1702,28 May m.,44700,14/20 ,220 ,3 
1703,Nərimanov r.,180000,,530 ,4 
1704,Şah İsmayıl Xətai m.,25500,7/17 ,110 ,3 
1705,Nizami m.,40800,8/18 ,130 ,3 
1706,Nəriman Nərimanov m.,35970,4/19 ,140 ,3 
1707,İçəri Şəhər m.,24000,1/2 ,98 ,3 
1708,Nəriman Nərimanov m.,15000,2/5 ,80 ,3 
1709,İnşaatçılar m.,15000,15/17 ,67 ,2 
1710,Şah İsmayıl Xətai m.,50970,17/18 ,140 ,3 
1711,8 Noyabr m.,48000,,150 ,7 
1712,Nəsimi r.,27000,13/18 ,127 ,3 
1713,İnşaatçılar m.,69000,,100 ,
1714,Quba,90,,150 ,4 
1715,Şah İsmayıl Xətai m.,25500,10/18 ,120 ,3 
1716,Nəriman Nərimanov m.,36000,4/18 ,130 ,3 
1717,Yasamal r.,14100,2/18 ,70 ,2 
1718,Gənclik m.,43500,14/17 ,170 ,3 
1719,Bayıl q.,5400,,35 ,2 
1720,Elmlər Akademiyası m.,36000,12/19 ,131 ,3 
1721,Nizami r.,45000,,500 ,
1722,Yasamal q.,42000,,90 ,
1723,Sahil m.,24000,3/5 ,60 ,2 
1724,Nəriman Nərimanov m.,24000,,25 ,
1725,Səbail r.,18000,3/9 ,82 ,2 
1726,Səbail r.,18000,2/9 ,40 ,2 
1727,Nəsimi r.,126000,,550 ,3 
1728,Səbail r.,120000,17/32 ,200 ,4 
1729,Memar Əcəmi m.,13500,3/18 ,73 ,3 
1730,Nərimanov r.,27000,15/18 ,115 ,3 
1731,Nizami m.,30000,3/16 ,125 ,3 
1732,Xətai r.,21300,17/18 ,100 ,3 
1733,Nəsimi r.,21000,13/16 ,77 ,2 
1734,Yasamal r.,33000,16/20 ,150 ,3 
1735,Səbail r.,15000,3/16 ,80 ,2 
1736,Qara Qarayev m.,11700,,40 ,1 
1737,Yasamal r.,12900,2/5 ,50 ,2 
1738,20 Yanvar m.,13500,2/16 ,65 ,2 
1739,Nərimanov r.,33000,9/18 ,170 ,4 
1740,20 Yanvar m.,15000,12/21 ,76 ,2 
1741,Nizami m.,18000,12/17 ,62 ,2 
1742,Nizami m.,30000,7/19 ,140 ,3 
1743,Nəriman Nərimanov m.,18000,8/20 ,90 ,2 
1744,Səbail r.,18000,3/9 ,80 ,2 
1745,Nəsimi r.,75000,,180 ,
1746,Nərimanov r.,36000,4/16 ,130 ,3 
1747,Nizami m.,45000,16/18 ,185 ,3 
1748,Sahil m.,45000,5/17 ,115 ,3 
1749,Əhmədli q.,14100,10/19 ,60 ,3 
1750,Nərimanov r.,22500,11/22 ,140 ,3 
1751,Gənclik m.,12600,5/9 ,75 ,3 
1752,7-ci mikrorayon q.,10500,5/5 ,40 ,2 
1753,Şah İsmayıl Xətai m.,24000,2/20 ,100 ,3 
1754,Nəriman Nərimanov m.,75000,,200 ,7 
1755,İçəri Şəhər m.,18000,1/5 ,50 ,2 
1756,Şah İsmayıl Xətai m.,22500,7/16 ,85 ,2 
1757,Nizami m.,51000,8/20 ,125 ,2 
1758,Səbail r.,240000,,300 ,6 
1759,İnşaatçılar m.,12000,2/5 ,48 ,2 
1760,İnşaatçılar m.,18000,13/16 ,76 ,2 
1761,Səbail r.,66000,12/16 ,185 ,3 
1762,Şah İsmayıl Xətai m.,24000,12/17 ,85 ,2 
1763,Nəsimi r.,21000,14/16 ,75 ,2 
1764,Neftçilər m.,14700,3/5 ,65 ,2 
1765,20 Yanvar m.,21000,12/20 ,115 ,3 
1766,Neftçilər m.,13500,2/5 ,50 ,2 
1767,Qara Qarayev m.,13500,7/20 ,65 ,3 
1768,Yasamal r.,16500,2/5 ,60 ,2 
1769,Yasamal r.,33000,16/18 ,150 ,3 
1770,Nəriman Nərimanov m.,48000,,60 ,
1771,Şah İsmayıl Xətai m.,24000,10/18 ,120 ,3 
1772,İnşaatçılar m.,10500,,45 ,
1773,Nizami m.,22500,3/3 ,50 ,2 
1774,İnşaatçılar m.,18000,9/16 ,60 ,2 
1775,İçəri Şəhər m.,30000,,60 ,
1776,Şah İsmayıl Xətai m.,108000,,257 ,6 
1777,Nəsimi r.,36000,11/17 ,103 ,3 
1778,Neftçilər m.,13500,2/5 ,50 ,2 
1779,Nəriman Nərimanov m.,18000,3/16 ,80 ,2 
1780,İnşaatçılar m.,22200,15/17 ,80 ,2 
1781,Həzi Aslanov q.,15000,1/5 ,60 ,3 
1782,Əhmədli m.,450000,,700 ,
1783,20 Yanvar m.,15000,19/20 ,52 ,2 
1784,Nəsimi r.,15000,4/5 ,70 ,3 
1785,Nəriman Nərimanov m.,12000,1/5 ,60 ,2 
1786,Nərimanov r.,24000,11/14 ,106 ,3 
1787,Şah İsmayıl Xətai m.,30000,11/19 ,95 ,3 
1788,Şah İsmayıl Xətai m.,60000,9/22 ,190 ,3 
1789,Nəsimi r.,36000,27/27 ,136 ,3 
1790,Əhmədli m.,120000,,200 ,
1791,Yeni Yasamal q.,18000,11/13 ,100 ,3 
1792,Nəsimi r.,39000,6/13 ,150 ,3 
1793,Nəsimi r.,31500,7/17 ,140 ,3 
1794,İnşaatçılar m.,15000,14/18 ,50 ,2 
1795,Yasamal r.,21000,12/27 ,70 ,2 
1796,Nəriman Nərimanov m.,18000,7/8 ,80 ,2 
1797,Sahil m.,360000,,146 ,
1798,Nəriman Nərimanov m.,240000,,450 ,
1799,İnşaatçılar m.,18000,13/19 ,90 ,2 
1800,Gənclik m.,600000,,370 ,
1801,20 Yanvar m.,17970,9/16 ,73 ,2 
1802,İçəri Şəhər m.,60000,,150 ,4 
1803,Nərimanov r.,30000,14/16 ,112 ,3 
1804,Neftçilər m.,13500,2/5 ,50 ,2 
1805,Nəsimi r.,48000,2/4 ,210 ,5 
1806,Şah İsmayıl Xətai m.,36000,15/20 ,90 ,2 
1807,Elmlər Akademiyası m.,15000,20/24 ,90 ,2 
1808,İçəri Şəhər m.,45000,,110 ,
1809,Nəsimi r.,36000,,205 ,
1810,Nəsimi r.,180000,,340 ,
1811,Xırdalan,10500,2/4 ,80 ,2 
1812,İçəri Şəhər m.,75000,11/13 ,120 ,3 
1813,Masazır q.,10500,3/6 ,80 ,2 
1814,Nərimanov r.,51000,,125 ,
1815,İçəri Şəhər m.,18000,1/5 ,50 ,2 
1816,Yeni Yasamal q.,18000,12/13 ,90 ,3 
1817,Nizami m.,43500,8/16 ,180 ,4 
1818,28 May m.,45000,,65 ,
1819,Nərimanov r.,30000,8/17 ,120 ,3 
1820,Şah İsmayıl Xətai m.,27000,7/17 ,110 ,3 
1821,Bayıl q.,19500,1/5 ,80 ,3 
1822,İnşaatçılar m.,4500,,36 ,2 
1823,Şah İsmayıl Xətai m.,30000,10/18 ,100 ,3 
1824,Neftçilər m.,12000,2/5 ,45 ,2 
1825,Şah İsmayıl Xətai m.,51000,17/30 ,185 ,3 
1826,Nərimanov r.,36000,11/17 ,103 ,3 
1827,Nəriman Nərimanov m.,18000,2/4 ,160 ,4 
1828,Nəriman Nərimanov m.,17400,4/16 ,96 ,2 
1829,20 Yanvar m.,21000,12/20 ,100 ,3 
1830,Şah İsmayıl Xətai m.,25500,10/18 ,120 ,3 
1831,İçəri Şəhər m.,75000,15/16 ,250 ,4 
1832,İçəri Şəhər m.,18000,1/5 ,45 ,2 
1833,Sahil m.,24000,,90 ,2 
1834,Nərimanov r.,30000,,80 ,3 
1835,Nəsimi r.,75000,,600 ,5 
1836,Nəsimi r.,21000,,100 ,4 
1837,İçəri Şəhər m.,24000,7/9 ,85 ,2 
1838,Şah İsmayıl Xətai m.,25500,2/20 ,100 ,3 
1839,Yeni Yasamal q.,10500,6/9 ,60 ,2 
1840,Neftçilər m.,12000,2/5 ,50 ,2 
1841,İçəri Şəhər m.,42000,,110 ,3 
1842,Şah İsmayıl Xətai m.,30000,16/17 ,180 ,3 
1843,Yasamal r.,105000,,130 ,
1844,28 May m.,21000,12/18 ,80 ,2 
1845,Nərimanov r.,42000,15/18 ,130 ,3 
1846,Nəsimi r.,45000,12/16 ,184 ,4 
1847,20 Yanvar m.,16500,8/19 ,65 ,2 
1848,Nizami m.,21000,12/17 ,93 ,2 
1849,Elmlər Akademiyası m.,13500,5/5 ,45 ,2 
1850,Nəsimi r.,15000,5/9 ,65 ,2 
1851,Nərimanov r.,45000,2/18 ,130 ,2 
1852,20 Yanvar m.,18000,9/16 ,60 ,2 
1853,Nəriman Nərimanov m.,24000,11/22 ,140 ,3 
1854,Yasamal r.,15000,2/5 ,70 ,3 
1855,Nərimanov r.,42000,12/18 ,110 ,2 
1856,Səbail r.,165000,,153 ,
1857,Şah İsmayıl Xətai m.,25500,10/18 ,120 ,3 
1858,Şah İsmayıl Xətai m.,22500,9/16 ,90 ,2 
1859,İçəri Şəhər m.,15000,5/7 ,65 ,2 
1860,Memar Əcəmi m.,3900,2/5 ,120 ,3 
1861,Xızı,60,,100 ,3 
1862,Neftçilər m.,13500,2/5 ,50 ,2 
1863,Novxanı q.,170,,350 ,
1864,Nəsimi r.,21000,12/19 ,75 ,2 
1865,Şah İsmayıl Xətai m.,27000,6/16 ,120 ,3 
1866,Memar Əcəmi m.,10500,1/5 ,60 ,2 
1867,Nəriman Nərimanov m.,75000,,200 ,7 
1868,Nəsimi r.,30,4/9 ,40 ,1 
1869,28 May m.,40,5/9 ,95 ,3 
1870,28 May m.,75000,8/16 ,200 ,4 
1871,Bakıxanov q.,75000,,700 ,6 
1872,Sahil m.,45000,6/10 ,100 ,3 
1873,Gənclik m.,45000,7/12 ,165 ,3 
1874,Şah İsmayıl Xətai m.,10500,,25 ,2 
1875,Şah İsmayıl Xətai m.,39000,7/20 ,130 ,3 
1876,Sahil m.,42000,3/9 ,75 ,2 
1877,Binəqədi r.,75000,,300 ,
1878,Nizami m.,45000,,100 ,
1879,Gənclik m.,30000,,80 ,3 
1880,İnşaatçılar m.,3000,,33 ,2 
1881,Nərimanov r.,16500,4/16 ,96 ,2 
1882,Sabunçu q.,29700,,220 ,
1883,Nərimanov r.,45000,12/14 ,165 ,3 
1884,Gənclik m.,19500,,90 ,3 
1885,Sahil m.,510000,,300 ,
1886,İnşaatçılar m.,39000,5/16 ,105 ,2 
1887,İçəri Şəhər m.,18000,1/5 ,42 ,2 
