,Locations,Prices,Floor,Area,Rooms,Rent
6878,Nardaran q.,125000,,2600.0,,0.0
6879,Binəqədi r.,170000,,120.0,,0.0
6880,Neftçilər m.,90000,3/15 ,67.0,2.0,0.0
6881,Şah İsmayıl Xətai m.,410000,15/20 ,165.0,4.0,0.0
6882,Memar Əcəmi m.,105000,14/17 ,59.0,2.0,0.0
6883,Nərimanov r.,207000,11/16 ,73.5,2.0,0.0
6884,Nərimanov r.,409000,11/17 ,245.0,4.0,0.0
6885,Nizami m.,250000,10/17 ,120.0,3.0,0.0
6886,İnşaatçılar m.,143000,8/9 ,98.0,3.0,0.0
6887,Ağdaş,2000000,,20000.0,,0.0
6888,Nərimanov r.,125000,15/17 ,75.0,2.0,0.0
6889,9-cu mikrorayon q.,189000,17/18 ,119.0,3.0,0.0
6890,Yasamal r.,106000,8/16 ,72.0,2.0,0.0
6891,Əhmədli q.,140000,9/20 ,95.0,3.0,0.0
6892,İnşaatçılar m.,187000,11/17 ,120.0,3.0,0.0
6893,Mərdəkan q.,350000,,180.0,,0.0
6894,Mərdəkan q.,410000,,255.0,,0.0
6895,Nərimanov r.,95000,6/15 ,50.0,2.0,0.0
6896,Mərdəkan q.,450000,,190.0,,0.0
6897,Elmlər Akademiyası m.,510000,16/23 ,185.0,4.0,0.0
6898,Yasamal r.,164000,16/16 ,135.0,3.0,0.0
6899,Yasamal q.,330000,4/17 ,212.0,4.0,0.0
6900,Badamdar q.,1500000,,400.0,6.0,0.0
6901,Mərdəkan q.,66000,,600.0,,0.0
6902,Masazır q.,65000,4/4 ,81.4,3.0,0.0
6903,Sahil m.,148000,4/4 ,75.0,3.0,0.0
6904,Yasamal r.,310000,7/14 ,211.0,4.0,0.0
6905,Şah İsmayıl Xətai m.,400000,12/12 ,315.0,6.0,0.0
6906,Nərimanov r.,370000,13/17 ,165.0,3.0,0.0
6907,Yasamal q.,130000,3/5 ,60.0,3.0,0.0
6908,Sahil m.,265000,3/3 ,100.0,3.0,0.0
6909,Həzi Aslanov m.,135000,16/19 ,88.0,2.0,0.0
6910,Nəriman Nərimanov m.,173000,6/17 ,108.0,3.0,0.0
6911,Yeni Yasamal q.,165000,10/12 ,112.0,3.0,0.0
6912,Əhmədli m.,299000,6/8 ,158.0,4.0,0.0
6913,20 Yanvar m.,85000,1/5 ,80.0,3.0,0.0
6914,Azadlıq Prospekti m.,133000,5/5 ,80.0,4.0,0.0
6915,Nəriman Nərimanov m.,215000,2/8 ,110.0,3.0,0.0
6916,Masazır q.,130000,,230.0,5.0,0.0
6917,28 May m.,168000,4/6 ,80.0,3.0,0.0
6918,Xırdalan,65000,4/8 ,67.0,2.0,0.0
6919,Yasamal q.,96000,13/14 ,73.0,2.0,0.0
6920,Mərdəkan q.,97000,,1300.0,,0.0
6921,Şah İsmayıl Xətai m.,129000,2/16 ,95.0,2.0,0.0
6922,Nərimanov r.,165000,13/18 ,77.0,2.0,0.0
6923,Binə q.,52000,,120.0,3.0,0.0
6924,Yeni Yasamal q.,169000,4/12 ,145.0,3.0,0.0
6925,Sahil m.,117000,,60.0,,0.0
6926,Qara Qarayev m.,110000,2/16 ,97.0,2.0,0.0
6927,Həzi Aslanov q.,118000,1/21 ,82.0,3.0,0.0
6928,Həzi Aslanov m.,95000,9/19 ,52.0,2.0,0.0
6929,Yeni Yasamal q.,120000,2/17 ,127.0,3.0,0.0
6930,Azadlıq Prospekti m.,185000,3/9 ,120.0,5.0,0.0
6931,Memar Əcəmi m.,112000,3/9 ,75.0,3.0,0.0
6932,Qobu q.,35000,,350.0,,0.0
6933,Yeni Yasamal q.,118000,8/17 ,80.0,2.0,0.0
6934,Savalan q.,75000,,100.0,,0.0
6935,Yasamal r.,510000,16/20 ,183.0,4.0,0.0
6936,Həzi Aslanov m.,165000,16/17 ,134.0,3.0,0.0
6937,Nəriman Nərimanov m.,210000,2/16 ,137.0,3.0,0.0
6938,Nəsimi r.,8500000,,6500.0,,0.0
6939,Şağan q.,220000,,350.0,6.0,0.0
6940,Xətai r.,326800,4/8 ,172.0,4.0,0.0
6941,Qaraçuxur q.,200000,,300.0,8.0,0.0
6942,Neftçilər m.,83000,9/19 ,71.0,1.0,0.0
6943,Azadlıq Prospekti m.,155000,5/9 ,81.0,4.0,0.0
6944,Neftçilər m.,104400,10/16 ,87.0,2.0,0.0
6945,28 May m.,140000,7/17 ,72.0,2.0,0.0
6946,Bakıxanov q.,125000,3/19 ,110.0,3.0,0.0
6947,Nəriman Nərimanov m.,220000,2/18 ,154.0,4.0,0.0
6948,8-ci kilometr q.,183000,,200.0,6.0,0.0
6949,Bayıl q.,160000,1/5 ,101.0,3.0,0.0
6950,Neftçilər m.,82000,3/5 ,50.0,2.0,0.0
6951,Əhmədli q.,145000,2/20 ,100.0,3.0,0.0
6952,Neftçilər m.,88000,8/9 ,60.0,3.0,0.0
6953,Neftçilər m.,179000,12/17 ,125.0,3.0,0.0
6954,Şah İsmayıl Xətai m.,299000,18/20 ,114.0,3.0,0.0
6955,Nəsimi r.,820000,,280.0,,0.0
6956,Əhmədli m.,108000,10/11 ,138.0,3.0,0.0
6957,Yasamal r.,180000,9/9 ,120.0,5.0,0.0
6958,Masazır q.,60000,5/5 ,70.0,3.0,0.0
6959,Əhmədli m.,75000,9/9 ,60.0,2.0,0.0
6960,Xırdalan,86000,6/9 ,84.0,3.0,0.0
6961,8-ci mikrorayon q.,135000,4/14 ,105.0,3.0,0.0
6962,Yasamal r.,1000000,,400.0,,0.0
6963,Həzi Aslanov m.,115000,10/18 ,64.0,2.0,0.0
6964,Nəsimi r.,290000,8/16 ,170.0,4.0,0.0
6965,Memar Əcəmi m.,57000,5/5 ,33.0,1.0,0.0
6966,Nərimanov r.,135000,9/16 ,98.0,2.0,0.0
6967,8 Noyabr m.,108000,4/15 ,55.0,2.0,0.0
6968,8-ci mikrorayon q.,300000,4/16 ,172.0,4.0,0.0
6969,Saray q.,20000,,500.0,,0.0
6970,Nəriman Nərimanov m.,159000,12/17 ,58.0,2.0,0.0
6971,Nərimanov r.,202000,11/15 ,103.0,3.0,0.0
6972,Qara Qarayev m.,177900,2/16 ,104.0,4.0,0.0
6973,Qara Qarayev m.,114900,12/16 ,70.0,2.0,0.0
6974,Yasamal r.,176000,9/21 ,76.0,2.0,0.0
6975,Əhmədli q.,96000,12/20 ,60.0,2.0,0.0
6976,Nərimanov r.,260000,9/12 ,200.0,5.0,0.0
6977,Əhmədli q.,125000,3/20 ,128.0,3.0,0.0
6978,Memar Əcəmi m.,75000,1/5 ,55.0,2.0,0.0
6979,8 Noyabr m.,185000,5/13 ,105.0,3.0,0.0
6980,8 Noyabr m.,105000,6/15 ,53.0,2.0,0.0
6981,Nərimanov r.,130000,14/16 ,70.0,2.0,0.0
6982,Azadlıq Prospekti m.,138000,8/17 ,76.0,2.0,0.0
6983,Memar Əcəmi m.,229900,10/11 ,115.0,3.0,0.0
6984,Nərimanov r.,305000,17/18 ,225.0,4.0,0.0
6985,Nəriman Nərimanov m.,158000,14/17 ,95.0,3.0,0.0
6986,Şah İsmayıl Xətai m.,246600,12/16 ,137.0,3.0,0.0
6987,Əhmədli q.,120000,15/20 ,110.0,3.0,0.0
6988,Nəsimi r.,95000,5/5 ,70.0,3.0,0.0
6989,Nərimanov r.,158000,14/14 ,134.0,4.0,0.0
6990,28 May m.,375000,10/14 ,204.0,4.0,0.0
6991,Həzi Aslanov q.,85000,4/17 ,60.0,1.0,0.0
6992,Nəsimi r.,210000,3/16 ,84.0,2.0,0.0
6993,Binəqədi q.,38000,,78.0,3.0,0.0
6994,Elmlər Akademiyası m.,210000,,200.0,,0.0
6995,Mərdəkan q.,450000,,230.0,5.0,0.0
6996,Əhmədli q.,90000,1/20 ,100.0,2.0,0.0
6997,Nəsimi r.,315000,16/18 ,142.0,4.0,0.0
6998,İnşaatçılar m.,135000,12/13 ,96.0,3.0,0.0
6999,28 May m.,1700000,,455.0,,0.0
7000,Nəsimi r.,134000,11/16 ,80.0,2.0,0.0
7001,Həzi Aslanov m.,175000,15/17 ,134.0,3.0,0.0
7002,Yeni Yasamal q.,87000,15/20 ,48.0,2.0,0.0
7003,Elmlər Akademiyası m.,343000,9/19 ,156.0,3.0,0.0
7004,8 Noyabr m.,160000,19/20 ,83.0,3.0,0.0
7005,Xırdalan,83000,4/5 ,93.0,3.0,0.0
7006,Nəriman Nərimanov m.,178000,6/18 ,85.7,2.0,0.0
7007,28 May m.,315000,12/15 ,135.0,3.0,0.0
7008,NZS q.,26000,,70.0,2.0,0.0
7009,Elmlər Akademiyası m.,220000,6/16 ,107.0,3.0,0.0
7010,Nəsimi r.,209000,8/15 ,100.0,3.0,0.0
7011,Nərimanov r.,165000,4/17 ,85.0,2.0,0.0
7012,Şah İsmayıl Xətai m.,105000,11/17 ,60.0,1.0,0.0
7013,Mərdəkan q.,500000,,300.0,,0.0
7014,Qara Qarayev m.,93000,6/16 ,82.0,2.0,0.0
7015,Mərdəkan q.,3900000,,1000.0,,0.0
7016,Mərdəkan q.,260000,,150.0,,0.0
7017,Mərdəkan q.,220000,,180.0,,0.0
7018,Mərdəkan q.,480000,,220.0,,0.0
7019,Mərdəkan q.,135000,,120.0,,0.0
7020,Nəsimi r.,157000,15/20 ,100.0,3.0,0.0
7021,Qara Qarayev m.,75000,10/17 ,51.0,1.0,0.0
7022,Mərdəkan q.,490000,,360.0,,0.0
7023,Nizami m.,135000,14/16 ,75.0,2.0,0.0
7024,Nizami r.,108000,2/5 ,70.0,3.0,0.0
7025,Qara Qarayev m.,125000,3/14 ,91.0,3.0,0.0
7026,Şüvəlan q.,1500000,,800.0,,0.0
7027,İnşaatçılar m.,117000,3/5 ,65.0,3.0,0.0
7028,Xırdalan,60000,,130.0,5.0,0.0
7029,Bakıxanov q.,64500,5/5 ,50.0,2.0,0.0
7030,Şağan q.,60000,,400.0,,0.0
7031,Mərdəkan q.,470000,,220.0,,0.0
7032,Nəriman Nərimanov m.,225000,5/19 ,128.0,3.0,0.0
7033,Sahil m.,345000,3/10 ,90.0,3.0,0.0
7034,28 May m.,300000,5/16 ,180.0,4.0,0.0
7035,Masazır q.,119000,,240.0,8.0,0.0
7036,Mərdəkan q.,270000,,200.0,,0.0
7037,İnşaatçılar m.,188000,7/15 ,100.0,3.0,0.0
7038,Nəsimi r.,360000,8/18 ,237.0,4.0,0.0
7039,İnşaatçılar m.,148000,7/15 ,80.0,2.0,0.0
7040,Sulutəpə q.,58000,,110.0,5.0,0.0
7041,Nərimanov r.,125000,1/3 ,105.0,4.0,0.0
7042,Yasamal q.,135000,5/12 ,84.0,3.0,0.0
7043,İçəri Şəhər m.,48000,2/2 ,35.0,2.0,0.0
7044,Yeni Yasamal q.,128000,7/11 ,98.0,3.0,0.0
7045,Mərdəkan q.,430000,,220.0,,0.0
7046,Həzi Aslanov m.,123000,7/19 ,95.0,3.0,0.0
7047,Bayıl q.,210000,5/5 ,335.0,5.0,0.0
7048,Buzovna q.,85000,,120.0,,0.0
7049,Yasamal r.,86000,5/12 ,60.0,2.0,0.0
7050,Buzovna q.,960000,,3200.0,,0.0
7051,Masazır q.,90500,3/7 ,92.0,3.0,0.0
7052,Nəsimi r.,152000,3/16 ,70.0,2.0,0.0
7053,Nəriman Nərimanov m.,165000,17/17 ,165.0,4.0,0.0
7054,Yasamal r.,370000,,60.0,2.0,0.0
7055,Neftçilər m.,60000,11/19 ,63.0,1.0,0.0
7056,Həzi Aslanov m.,130000,3/9 ,110.0,4.0,0.0
7057,Xırdalan,40000,5/16 ,72.0,2.0,0.0
7058,İsmayıllı,500000,,600.0,,0.0
7059,Nəsimi r.,158000,11/18 ,58.0,2.0,0.0
7060,Əhmədli m.,6000000,,3000.0,,0.0
7061,Xətai r.,105000,3/20 ,68.0,2.0,0.0
7062,8-ci mikrorayon q.,245000,8/16 ,182.0,4.0,0.0
7063,Həzi Aslanov m.,123000,6/8 ,79.0,2.0,0.0
7064,Şah İsmayıl Xətai m.,330000,4/17 ,164.0,4.0,0.0
7065,Bayıl q.,260000,5/5 ,280.0,6.0,0.0
7066,Fatmayı q.,20000,,800.0,,0.0
7067,Nizami r.,100000,3/5 ,75.0,3.0,0.0
7068,Nəriman Nərimanov m.,215000,13/16 ,116.0,3.0,0.0
7069,Nizami m.,350000,12/16 ,180.0,4.0,0.0
7070,Səbail r.,345000,10/18 ,177.0,4.0,0.0
7071,Nərimanov r.,85000,5/5 ,35.0,3.0,0.0
7072,Nizami m.,140000,12/19 ,72.0,2.0,0.0
7073,Neftçilər m.,75000,3/5 ,55.0,2.0,0.0
7074,Şah İsmayıl Xətai m.,255000,13/16 ,125.0,3.0,0.0
7075,Nizami r.,6300000,,4092.0,,0.0
7076,Nəsimi m.,180000,2/16 ,162.0,4.0,0.0
7077,Qara Qarayev m.,126000,11/18 ,71.0,2.0,0.0
7078,Buzovna q.,125000,,90.0,3.0,0.0
7079,Nərimanov r.,170000,18/20 ,130.0,3.0,0.0
7080,Badamdar q.,66000,,100.0,,0.0
7081,Yeni Günəşli q.,100000,1/15 ,87.0,2.0,0.0
7082,Mərdəkan q.,245000,,170.0,,0.0
7083,Əhmədli m.,145000,6/7 ,60.0,3.0,0.0
7084,Nərimanov r.,239990,3/17 ,152.0,3.0,0.0
7085,Azadlıq Prospekti m.,315000,10/13 ,205.0,4.0,0.0
7086,Mərdəkan q.,200000,,160.0,,0.0
7087,28 May m.,280000,18/19 ,94.0,2.0,0.0
7088,Qara Qarayev m.,55000,5/5 ,30.0,1.0,0.0
7089,Gənclik m.,125000,2/9 ,70.0,2.0,0.0
7090,Azadlıq Prospekti m.,223000,6/17 ,132.0,3.0,0.0
7091,Nəsimi r.,315000,8/18 ,230.0,4.0,0.0
7092,Hökməli q.,280000,,300.0,5.0,0.0
7093,Nəsimi r.,125000,2/6 ,70.0,2.0,0.0
7094,Novxanı q.,180000,,200.0,,0.0
7095,Xətai r.,300000,4/7 ,163.0,4.0,0.0
7096,Yeni Yasamal q.,160000,3/12 ,107.0,3.0,0.0
7097,Azadlıq Prospekti m.,79500,7/9 ,45.0,2.0,0.0
7098,Şüvəlan q.,50000,,400.0,,0.0
7099,Buzovna q.,126000,,100.0,,0.0
7100,Şüvəlan q.,100000,,1800.0,,0.0
7101,Kürdəxanı q.,10000,,200.0,,0.0
7102,Novxanı q.,140000,,2000.0,,0.0
7103,Nərimanov r.,144500,7/8 ,107.0,2.0,0.0
7104,Elmlər Akademiyası m.,370000,8/16 ,185.0,4.0,0.0
7105,Yeni Yasamal q.,137000,4/12 ,105.0,3.0,0.0
7106,Şah İsmayıl Xətai m.,140000,11/13 ,81.0,2.0,0.0
7107,Həzi Aslanov m.,87000,7/19 ,53.0,2.0,0.0
7108,Gəncə,5000,,400.0,,0.0
7109,Bayıl q.,135000,5/5 ,197.0,5.0,0.0
7110,Nəsimi r.,207000,15/17 ,119.0,4.0,0.0
7111,Nərimanov r.,114000,13/16 ,48.7,1.0,0.0
7112,Yasamal q.,64000,5/5 ,35.0,1.0,0.0
7113,Yeni Yasamal q.,116000,7/18 ,112.0,3.0,0.0
7114,Şağan q.,210000,,3000.0,,0.0
7115,Binəqədi q.,25000,,100.0,3.0,0.0
7116,Sahil m.,425000,12/14 ,137.0,3.0,0.0
7117,Yasamal r.,565000,12/20 ,210.0,4.0,0.0
7118,Abşeron r.,385000,,350.0,9.0,0.0
7119,Gənclik m.,95000,3/5 ,45.0,2.0,0.0
7120,Nizami m.,80000,2/5 ,50.0,2.0,0.0
7121,Nərimanov r.,255000,4/10 ,151.7,3.0,0.0
7122,Xalqlar Dostluğu m.,95000,10/18 ,60.0,2.0,0.0
7123,Yeni Yasamal q.,149000,5/16 ,120.0,3.0,0.0
7124,Neftçilər m.,94000,3/5 ,75.0,3.0,0.0
7125,Şah İsmayıl Xətai m.,228000,4/16 ,132.0,4.0,0.0
7126,Şüvəlan q.,37000,,300.0,,0.0
7127,Neftçilər m.,167000,9/16 ,60.0,2.0,0.0
7128,Nəriman Nərimanov m.,275000,4/14 ,153.3,4.0,0.0
7129,Yasamal r.,258000,5/17 ,119.1,3.0,0.0
7130,Bayıl q.,220000,3/5 ,80.0,3.0,0.0
7131,Buzovna q.,155000,,100.0,4.0,0.0
7132,Memar Əcəmi m.,112000,3/9 ,70.5,3.0,0.0
7133,Xalqlar Dostluğu m.,100000,5/5 ,90.0,3.0,0.0
7134,Xətai r.,260000,2/7 ,83.0,2.0,0.0
7135,Nəriman Nərimanov m.,97000,10/19 ,57.1,1.0,0.0
7136,Şah İsmayıl Xətai m.,190000,6/13 ,110.0,3.0,0.0
7137,Xətai r.,245000,7/7 ,100.0,2.0,0.0
7138,Şüvəlan q.,25000,,300.0,,0.0
7139,Elmlər Akademiyası m.,160000,3/5 ,75.0,3.0,0.0
7140,28 May m.,174000,5/5 ,70.0,2.0,0.0
7141,Şah İsmayıl Xətai m.,200000,15/18 ,105.0,2.0,0.0
7142,Biləcəri q.,94000,2/16 ,75.0,2.0,0.0
7143,Nərimanov r.,350000,6/18 ,140.3,3.0,0.0
7144,8-ci mikrorayon q.,300000,11/17 ,165.0,3.0,0.0
7145,Xətai r.,638400,5/7 ,228.0,5.0,0.0
7146,Yasamal r.,370000,17/18 ,211.0,4.0,0.0
7147,Şağan q.,600000,,450.0,,0.0
7148,8-ci kilometr q.,73000,2/5 ,45.0,2.0,0.0
7149,Nəsimi r.,720000,11/18 ,215.0,4.0,0.0
7150,Ramana q.,42000,,100.0,3.0,0.0
7151,Şah İsmayıl Xətai m.,530000,18/20 ,198.0,4.0,0.0
7152,Mərdəkan q.,245000,,170.0,,0.0
7153,Şah İsmayıl Xətai m.,108000,18/18 ,100.0,3.0,0.0
7154,Mərdəkan q.,190000,,140.0,,0.0
7155,Yeni Yasamal q.,115000,8/9 ,88.0,3.0,0.0
7156,Binəqədi q.,140000,,180.0,5.0,0.0
7157,Şüvəlan q.,260000,,160.0,,0.0
7158,Xətai r.,400000,,468.0,7.0,0.0
7159,Mərdəkan q.,150000,,240.0,4.0,0.0
7160,Yeni Yasamal q.,149000,5/16 ,135.0,3.0,0.0
7161,Nərimanov r.,113000,4/9 ,70.0,2.0,0.0
7162,Şah İsmayıl Xətai m.,175000,6/24 ,157.0,3.0,0.0
7163,Mərdəkan q.,150000,,100.0,,0.0
7164,Nərimanov r.,185000,12/18 ,86.0,2.0,0.0
7165,Sahil m.,330000,3/4 ,81.0,3.0,0.0
7166,8-ci mikrorayon q.,154000,3/9 ,94.0,4.0,0.0
7167,Şah İsmayıl Xətai m.,330000,14/17 ,164.0,3.0,0.0
7168,Şüvəlan q.,120000,,1200.0,,0.0
7169,Yasamal q.,64000,4/5 ,35.0,1.0,0.0
7170,Memar Əcəmi m.,125000,3/5 ,70.0,3.0,0.0
7171,Xətai r.,105000,6/9 ,100.0,4.0,0.0
7172,8 Noyabr m.,235000,13/16 ,140.0,3.0,0.0
7173,Əhmədli m.,122000,4/9 ,85.0,3.0,0.0
7174,20 Yanvar m.,168000,6/21 ,128.0,3.0,0.0
7175,Yeni Günəşli q.,110000,10/16 ,78.0,2.0,0.0
7176,Memar Əcəmi m.,93000,2/9 ,65.0,3.0,0.0
7177,Masazır q.,87000,,180.0,4.0,0.0
7178,Nizami m.,100000,3/5 ,45.0,2.0,0.0
7179,Mərdəkan q.,160000,,1000.0,,0.0
7180,Yeni Yasamal q.,70000,18/21 ,94.0,3.0,0.0
7181,Nizami r.,80000,14/18 ,67.0,2.0,0.0
7182,Nəriman Nərimanov m.,185000,6/16 ,90.0,4.0,0.0
7183,Memar Əcəmi m.,75000,1/5 ,48.0,2.0,0.0
7184,28 May m.,450000,11/21 ,244.0,4.0,0.0
7185,Elmlər Akademiyası m.,145000,8/9 ,85.0,3.0,0.0
7186,Yasamal r.,220000,4/5 ,90.0,3.0,0.0
7187,Nəsimi r.,143000,9/18 ,69.0,1.0,0.0
7188,Nəriman Nərimanov m.,255000,8/14 ,181.0,4.0,0.0
7189,28 May m.,75000,3/5 ,33.0,1.0,0.0
7190,Səbail r.,400000,,330.0,5.0,0.0
7191,Şah İsmayıl Xətai m.,215000,4/16 ,120.0,3.0,0.0
7192,Nəriman Nərimanov m.,182000,9/16 ,119.0,3.0,0.0
7193,Nərimanov r.,379000,7/14 ,190.0,4.0,0.0
7194,Nəsimi r.,82000,1/5 ,40.0,2.0,0.0
7195,İçəri Şəhər m.,260000,4/5 ,80.0,2.0,0.0
7196,Nərimanov r.,120000,2/9 ,65.0,2.0,0.0
7197,28 May m.,413000,7/20 ,230.0,4.0,0.0
7198,Şah İsmayıl Xətai m.,247000,6/16 ,133.0,3.0,0.0
7199,Nəsimi r.,205000,11/18 ,125.0,3.0,0.0
7200,Buzovna q.,85000,,120.0,,0.0
7201,Həzi Aslanov m.,122000,14/19 ,87.0,2.0,0.0
7202,İçəri Şəhər m.,95000,2/2 ,54.0,2.0,0.0
7203,Şüvəlan q.,135000,,175.0,,0.0
7204,Nərimanov r.,1200000,,350.0,,0.0
7205,28 May m.,110000,3/5 ,45.0,2.0,0.0
7206,Gənclik m.,170000,3/16 ,85.0,2.0,0.0
7207,Zabrat q.,105000,,240.0,5.0,0.0
7208,Nəsimi r.,320000,9/16 ,206.0,4.0,0.0
7209,Bakıxanov q.,120000,9/9 ,100.0,4.0,0.0
7210,Nəsimi r.,650000,12/14 ,400.0,6.0,0.0
7211,Yeni Yasamal q.,88000,8/16 ,55.3,2.0,0.0
7212,İnşaatçılar m.,204000,14/17 ,130.0,3.0,0.0
7213,Elmlər Akademiyası m.,300000,4/17 ,175.0,3.0,0.0
7214,Həzi Aslanov m.,89000,5/5 ,70.0,3.0,0.0
7215,Qara Qarayev m.,269900,12/17 ,132.6,4.0,0.0
7216,Əhmədli m.,126000,7/9 ,80.0,3.0,0.0
7217,Qara Qarayev m.,97900,6/14 ,52.5,2.0,0.0
7218,Buzovna q.,320000,,360.0,,0.0
7219,Memar Əcəmi m.,105000,4/5 ,75.0,3.0,0.0
7220,Neftçilər m.,152000,6/18 ,136.1,3.0,0.0
7221,Abşeron r.,47000,,90.0,3.0,0.0
7222,Sumqayıt,955000,,30000.0,,0.0
7223,Neftçilər m.,120000,16/17 ,83.0,2.0,0.0
7224,Şüvəlan q.,90000,,1200.0,,0.0
7225,Hövsan q.,450000,,510.0,5.0,0.0
7226,Nəsimi r.,100000,3/5 ,70.0,3.0,0.0
7227,Xətai r.,273000,11/16 ,105.0,3.0,0.0
7228,Mərdəkan q.,115000,,1800.0,,0.0
7229,Xırdalan,15500,,150.0,,0.0
7230,Xətai r.,241500,2/7 ,138.0,3.0,0.0
7231,Neftçilər m.,150000,18/19 ,145.0,3.0,0.0
7232,Şah İsmayıl Xətai m.,410000,15/20 ,163.0,4.0,0.0
7233,Yasamal r.,149900,14/19 ,111.0,3.0,0.0
7234,Neftçilər m.,123000,15/19 ,111.5,2.0,0.0
7235,Şüvəlan q.,170000,,1500.0,,0.0
7236,Nəsimi r.,217000,16/18 ,120.0,3.0,0.0
7237,Nəsimi m.,71000,5/5 ,60.0,2.0,0.0
7238,20 Yanvar m.,650000,,63.0,,0.0
7239,Nərimanov r.,550000,16/17 ,210.0,4.0,0.0
7240,Qobu q.,23000,,1600.0,,0.0
7241,Xalqlar Dostluğu m.,83000,7/9 ,60.0,2.0,0.0
7242,Xırdalan,59800,5/16 ,92.0,2.0,0.0
7243,Yasamal r.,116000,1/5 ,70.0,3.0,0.0
7244,Neftçilər m.,77000,15/19 ,69.0,1.0,0.0
7245,Yasamal r.,162000,3/4 ,80.0,3.0,0.0
7246,İçəri Şəhər m.,120000,3/5 ,53.0,2.0,0.0
7247,Mərdəkan q.,149000,,2600.0,,0.0
7248,Nərimanov r.,156000,13/16 ,82.0,3.0,0.0
7249,Gənclik m.,90000,4/9 ,65.0,2.0,0.0
7250,Şağan q.,600000,,350.0,,0.0
7251,Şamaxı,110000,,4600.0,,0.0
7252,Elmlər Akademiyası m.,337000,13/20 ,250.0,4.0,0.0
7253,Azadlıq Prospekti m.,185000,3/9 ,130.0,5.0,0.0
7254,Neftçilər m.,80400,14/18 ,67.0,1.0,0.0
7255,Xətai r.,107000,6/9 ,95.0,4.0,0.0
7256,Xırdalan,120000,,120.0,,0.0
7257,Şah İsmayıl Xətai m.,250000,4/16 ,137.0,3.0,0.0
7258,Saray q.,216000,,180.0,7.0,0.0
7259,Sahil m.,205000,6/6 ,70.0,3.0,0.0
7260,Xırdalan,35000,,55.0,2.0,0.0
7261,Şah İsmayıl Xətai m.,255000,13/16 ,125.0,3.0,0.0
7262,Mərdəkan q.,200000,,150.0,,0.0
7263,Sahil m.,125000,2/5 ,75.0,3.0,0.0
7264,Elmlər Akademiyası m.,285000,4/17 ,150.0,3.0,0.0
7265,Xəzər r.,500000,,600.0,2.0,0.0
7266,Elmlər Akademiyası m.,100000,5/9 ,60.0,2.0,0.0
7267,Xətai r.,86000,2/9 ,66.0,3.0,0.0
7268,Qusar,12000,,20700.0,,0.0
7269,Nəsimi r.,140000,3/19 ,99.0,2.0,0.0
7270,Nərimanov r.,128000,12/16 ,67.0,3.0,0.0
7271,Həzi Aslanov m.,69000,6/9 ,46.0,2.0,0.0
7272,Badamdar q.,146000,4/9 ,90.0,3.0,0.0
7273,Nəsimi r.,240000,3/22 ,120.0,3.0,0.0
7274,Zağulba q.,245000,,700.0,,0.0
7275,Nəsimi r.,250000,12/18 ,117.0,3.0,0.0
7276,Xırdalan,68000,,135.0,3.0,0.0
7277,Xətai r.,150000,10/17 ,115.0,3.0,0.0
7278,Nəriman Nərimanov m.,157000,5/16 ,96.0,2.0,0.0
7279,İnşaatçılar m.,75000,4/5 ,50.0,2.0,0.0
7280,Mərdəkan q.,54000,,600.0,,0.0
7281,Nizami r.,114000,12/17 ,80.0,3.0,0.0
7282,İçəri Şəhər m.,175000,5/6 ,55.0,2.0,0.0
7283,Nizami m.,230000,19/20 ,173.0,3.0,0.0
7284,Sumqayıt,195000,,300.0,6.0,0.0
7285,Əhmədli q.,125000,3/20 ,127.0,3.0,0.0
7286,Yasamal r.,98000,3/9 ,60.0,2.0,0.0
7287,Yasamal r.,195000,10/18 ,110.0,3.0,0.0
7288,İnşaatçılar m.,75000,1/5 ,58.0,2.0,0.0
7289,Neftçilər m.,185000,11/14 ,145.0,4.0,0.0
7290,Şüvəlan q.,750000,,280.0,,0.0
7291,28 May m.,530000,7/16 ,180.0,4.0,0.0
7292,Mərdəkan q.,580000,,500.0,,0.0
7293,Əhmədli m.,108000,18/18 ,100.0,3.0,0.0
7294,Əhmədli m.,76000,3/9 ,65.0,2.0,0.0
7295,Əhmədli q.,120000,2/20 ,110.0,3.0,0.0
7296,Nərimanov r.,331000,4/18 ,200.8,3.0,0.0
7297,Elmlər Akademiyası m.,150000,3/4 ,65.0,2.0,0.0
7298,Nərimanov r.,113000,4/9 ,60.0,2.0,0.0
7299,Yasamal r.,229000,22/27 ,110.0,2.0,0.0
7300,Şüvəlan q.,330000,,250.0,,0.0
7301,Şüvəlan q.,180000,,140.0,,0.0
7302,Nərimanov r.,165000,5/9 ,115.0,4.0,0.0
7303,Xalqlar Dostluğu m.,80000,4/5 ,50.0,2.0,0.0
7304,Mərdəkan q.,300000,,220.0,,0.0
7305,8-ci kilometr q.,135000,2/12 ,116.0,3.0,0.0
7306,Yeni Yasamal q.,125000,8/19 ,81.0,3.0,0.0
7307,Mərdəkan q.,120000,,1200.0,,0.0
7308,Yasamal r.,68000,,50.0,3.0,0.0
7309,Yeni Yasamal q.,85000,16/20 ,63.0,2.0,0.0
7310,4-cü mikrorayon q.,215000,1/5 ,150.0,5.0,0.0
7311,Memar Əcəmi m.,68000,5/5 ,58.0,2.0,0.0
7312,Mərdəkan q.,580000,,340.0,,0.0
