,Locations,Prices,Floor,Area,Rooms,Rent
107,Yeni Yasamal q.,9000,,38 ,2 ,1.0
108,Şah İsmayıl Xətai m.,25500,11/16 ,90 ,2 ,1.0
109,Nərimanov r.,24000,14/19 ,110 ,2 ,1.0
110,Sumqayıt,12600,7/10 ,58 ,2 ,1.0
111,Gənclik m.,13500,4/5 ,80 ,3 ,1.0
112,İçəri Şəhər m.,25500,9/18 ,80 ,2 ,1.0
113,Yasamal r.,21000,12/18 ,110 ,3 ,1.0
114,Neftçilər m.,45000,,120 ,,1.0
115,20 Yanvar m.,21000,12/20 ,100 ,3 ,1.0
116,Şah İsmayıl Xətai m.,24000,19/22 ,160 ,3 ,1.0
117,Nizami r.,21000,3/5 ,88 ,2 ,1.0
118,Nəriman Nərimanov m.,21000,3/20 ,85 ,3 ,1.0
119,Şah İsmayıl Xətai m.,75000,9/19 ,150 ,3 ,1.0
120,Nəsimi r.,24000,4/27 ,65 ,2 ,1.0
121,Nərimanov r.,24000,11/16 ,110 ,3 ,1.0
122,Əhmədli q.,12000,9/12 ,64 ,2 ,1.0
123,Yasamal r.,60000,,213 ,4 ,1.0
124,Nizami m.,78000,,200 ,5 ,1.0
125,İnşaatçılar m.,13500,3/18 ,55 ,2 ,1.0
126,28 May m.,40,2/5 ,94 ,3 ,1.0
127,28 May m.,40,3/5 ,74 ,2 ,1.0
128,İnşaatçılar m.,36000,8/16 ,136 ,3 ,1.0
129,İnşaatçılar m.,30000,8/16 ,96 ,2 ,1.0
130,Şah İsmayıl Xətai m.,30000,6/19 ,150 ,3 ,1.0
131,Yasamal r.,18000,2/18 ,100 ,3 ,1.0
132,Səbail r.,24000,8/14 ,80 ,2 ,1.0
133,Xətai r.,60000,19/23 ,220 ,3 ,1.0
134,Əhmədli q.,12000,,40 ,,1.0
135,9-cu mikrorayon q.,9000,4/9 ,40 ,1 ,1.0
136,Şah İsmayıl Xətai m.,75000,14/27 ,250 ,4 ,1.0
137,Qəbələ,21000,,100 ,3 ,1.0
138,Badamdar q.,9000,4/4 ,35 ,2 ,1.0
139,Nəsimi r.,30000,8/16 ,200 ,3 ,1.0
140,Nəriman Nərimanov m.,16500,5/18 ,100 ,3 ,1.0
141,Şah İsmayıl Xətai m.,19500,7/18 ,100 ,2 ,1.0
142,Şah İsmayıl Xətai m.,60000,19/20 ,200 ,4 ,1.0
143,Şah İsmayıl Xətai m.,30000,12/18 ,73 ,2 ,1.0
144,28 May m.,48000,,80 ,,1.0
145,Gənclik m.,105000,,220 ,7 ,1.0
146,Şah İsmayıl Xətai m.,69000,18/18 ,181 ,4 ,1.0
147,Nizami r.,3900,,200 ,4 ,1.0
148,Nəsimi r.,27000,7/17 ,200 ,4 ,1.0
149,Nəriman Nərimanov m.,24000,12/17 ,130 ,3 ,1.0
150,Səbail r.,22500,14/16 ,90 ,2 ,1.0
151,Nəsimi r.,66000,5/18 ,220 ,4 ,1.0
152,Memar Əcəmi m.,11100,3/5 ,40 ,2 ,1.0
153,Nəsimi r.,33000,8/18 ,180 ,4 ,1.0
154,Nəsimi r.,36000,11/18 ,130 ,3 ,1.0
155,Memar Əcəmi m.,9000,5/18 ,40 ,1 ,1.0
156,Memar Əcəmi m.,25500,10/16 ,173 ,3 ,1.0
157,Şah İsmayıl Xətai m.,60000,19/23 ,220 ,3 ,1.0
158,Həzi Aslanov m.,13500,15/18 ,90 ,3 ,1.0
159,Nizami m.,42000,,70 ,,1.0
160,Nəsimi r.,45000,2/10 ,160 ,4 ,1.0
161,Bayıl q.,10500,1/2 ,50 ,2 ,1.0
162,Elmlər Akademiyası m.,22500,8/16 ,150 ,3 ,1.0
163,Şah İsmayıl Xətai m.,60000,9/21 ,100 ,3 ,1.0
164,Nizami m.,39000,4/18 ,128 ,3 ,1.0
165,Yasamal r.,27000,8/27 ,106 ,2 ,1.0
166,Yasamal r.,21000,4/19 ,100 ,3 ,1.0
167,Nəsimi r.,21000,5/19 ,118 ,3 ,1.0
168,Nizami m.,60000,,75 ,,1.0
169,Nəsimi r.,48000,,85 ,,1.0
170,Sahil m.,21000,3/3 ,60 ,2 ,1.0
171,Elmlər Akademiyası m.,30000,8/18 ,100 ,3 ,1.0
172,Yasamal q.,3900,2/2 ,80 ,3 ,1.0
173,Yasamal q.,12000,,60 ,2 ,1.0
174,28 May m.,75000,,250 ,5 ,1.0
175,Nəsimi r.,30000,,60 ,,1.0
176,28 May m.,48000,,85 ,,1.0
177,Hövsan q.,6900,2/7 ,56 ,2 ,1.0
178,28 May m.,33000,,100 ,,1.0
179,İnşaatçılar m.,28500,8/10 ,158 ,3 ,1.0
180,Koroğlu m.,15000,12/14 ,70 ,2 ,1.0
